# Name,RA2000,Dec2000,flux_16cm,flux_4cm,flux_15mm,flux_7mm,flux_3mm
1524-136, 15:26:59, -13:51:00, 2.016, 1.147, 0.476, 0.257, 0.104
1548+056, 15:50:35, +05:27:10, 3.459, 3.019, 2.267, 1.897, 2.063
1549-790, 15:56:59, -79:14:04, 4.322, 2.149, 0.639, 0.214, 0.548
1613-586, 16:17:18, -58:48:08, 4.782, 4.437, 3.157, 2.474, 1.632
1610-771, 16:17:49, -77:17:18, 2.665, 2.008, 1.554, 1.193, 0.000
1622-253, 16:25:47, -25:27:38, 2.105, 1.430, 2.600, 1.978, 2.170
1622-297, 16:26:06, -29:51:27, 2.723, 2.187, 1.840, 1.230, 1.577
1709-281, 17:12:57, -28:09:33, 2.075, 0.660, 0.168, -0.003, -0.010
1714-397, 17:17:39, -39:48:53, 2.100, 1.071, 0.498, 0.291, 0.153
1718-649, 17:23:41, -65:00:37, 4.937, 4.504, 2.215, 1.397, 0.729
1722-55, 17:26:50, -55:29:41, 4.839, 1.691, 0.275, 0.088, 0.010
1722-64, 17:26:58, -64:27:53, 3.122, 1.055, 0.241, 0.084, 0.007
1730-130, 17:33:03, -13:04:50, 4.303, 4.246, 4.919, 4.192, 3.250
1741-038, 17:43:59, -03:50:05, 3.122, 3.694, 4.315, 5.473, 3.930
1740-517, 17:44:25, -51:44:44, 6.411, 3.857, 1.470, 0.709, 
1749+096, 17:51:33, +09:39:01, 2.272, 2.674, 3.139, 4.428, 3.002
1814-637, 18:19:35, -63:45:48, 9.672, 4.179, 1.310, 0.766, 0.384
1819-096, 18:22:29, -09:38:57, 4.389, 2.158, 0.622, 0.274, 0.134
1827-360, 18:30:59, -36:02:30, 4.290, 1.009, 0.064, 0.019, 0.010
1830-210, 18:33:40, -21:03:40, 13.268, 6.510, 2.987, 3.455, 2.511
1829-718, 18:35:37, -71:49:58, 2.215, 0.941, 0.278, 0.119, -0.014
1921-293, 19:24:51, -29:14:30, 12.818, 10.684, 11.662, 10.583, 6.702
1933-587, 19:37:32, -58:38:28, 2.093, 0.831, 0.250, 0.114, 0.001
1934-638, 19:39:25, -63:42:46, 12.526, 4.957, 1.161, 0.465, 0.116
1938-155, 19:41:15, -15:24:31, 2.474, 1.220, 0.278, 0.113, 0.033
2008-068, 20:11:14, -06:44:04, 2.293, 1.235, 0.417, 0.173, 0.099
2032-350, 20:35:48, -34:54:09, 2.841, 0.962, 0.118, 0.014, 0.019
2052-474, 20:56:16, -47:14:48, 2.424, 1.721, 2.052, 2.064, 2.037
2121+053, 21:23:45, +05:35:22, 2.200, 1.095, 1.548, 1.315, 2.034
2128+048, 21:30:33, +05:02:17, 3.239, 1.713, 0.671, 0.363, 0.218
2128-123, 21:31:35, -12:07:05, 2.416, 2.193, 1.709, 1.446, 1.314
2134+004, 21:36:39, +00:41:54, 6.060, 9.855, 6.529, 4.233, 3.471
2135-209, 21:37:50, -20:42:32, 2.738, 1.239, 0.469, 0.262, 0.205
2145+067, 21:48:05, +06:57:39, 3.735, 4.471, 3.067, 3.262, 4.235
2149-287, 21:52:04, -28:28:28, 2.148, 1.140, 0.350, 0.136, 0.157
2155-152, 21:58:06, -15:01:09, 3.508, 4.142, 3.604, 2.969, 2.134
