1232-416,radec gaincal,12:35:41.958,-41:53:18.65
#1234-504,radec gaincal,12:37:15.238,-50:46:23.17
#1236-684,radec gaincal,12:39:46.652,-68:45:30.89
1243-412,radec gaincal,12:45:57.639,-41:28:45.33
1251-713,radec gaincal,12:54:59.922,-71:38:18.44
1255-316,radec gaincal,12:57:59.061,-31:55:16.85
#1305-668,radec gaincal,13:08:17.386,-67:07:05.07
#1313-333,radec gaincal,13:16:07.986,-33:38:59.17
#1315-46,radec gaincal,13:18:30.064,-46:20:34.90
1320-446,radec gaincal,13:23:04.245,-44:52:33.85
#1325-55,radec gaincal,13:29:01.160,-56:08:02.62
#1327-311,radec gaincal,13:30:19.083,-31:22:59.12
#1329-665,radec gaincal,13:32:37.560,-66:46:49.81
#1337-875,radec gaincal,13:52:16.27,-87:50:38.91
#1338-58,radec gaincal,13:42:13.497,-58:27:59.13
#1343-300,radec gaincal,13:45:51.513,-30:15:04.54
#1349-439,radec gaincal,13:52:56.535,-44:12:40.39
#1352-63,radec gaincal,13:55:46.632,-63:26:42.62
#1412-368,radec gaincal,14:15:26.013,-37:05:26.73
#1414-59,radec gaincal,14:17:41.640,-59:50:37.53
#1421-490,radec gaincal,14:24:32.28,-49:13:49.30
#1424-418,radec gaincal,14:27:56.35,-42:06:19.41
#1431-48,radec gaincal,14:35:16.797,-48:21:47.76
#1450-338,radec gaincal,14:54:02.482,-34:00:57.16
#1451-400,radec gaincal,14:54:32.913,-40:12:32.51
1456-367,radec gaincal,14:59:15.752,-36:55:47.87
#1458-391,radec gaincal,15:01:34.754,-39:18:39.21
#1505-49,radec gaincal,15:08:38.942,-49:53:02.42
#1511-47,radec gaincal,15:14:40.015,-47:48:30.03
#1511-55,radec gaincal,15:15:12.656,-55:59:33.15
#1519-273,radec gaincal,15:22:37.68,-27:30:10.78
#1520-58,radec gaincal,15:24:51.116,-59:03:40.03
1540-828,radec gaincal,15:50:59.144,-82:58:06.84
1549-790,radec gaincal,15:56:58.871,-79:14:04.28
#1554-64,radec gaincal,15:58:50.290,-64:32:29.63
#1600-44,radec gaincal,16:04:31.015,-44:41:32.19
#1600-48,radec gaincal,16:03:50.688,-49:04:05.74
#1604-333,radec gaincal,16:07:34.751,-33:31:08.79
#1606-39,radec gaincal,16:10:21.879,-39:58:58.44
1610-771,radec gaincal,16:17:49.278,-77:17:18.46
#1613-586,radec gaincal,16:17:17.86,-58:48:07.50
#1616-52,radec gaincal,16:20:17.840,-52:09:26.55
#1619-680,radec gaincal,16:24:18.438,-68:09:12.50
#1622-297,radec gaincal,16:26:06.02,-29:51:26.96
#1623-492,radec gaincal,16:27:03.86,-49:23:37.44
#1624-61,radec gaincal,16:28:54.692,-61:52:36.49
#1625-492,radec gaincal,16:29:23.39,-49:22:03.11
#J1628-49,radec gaincal,16:28:57.70,-49:36:25.00
#1633-810,radec gaincal,16:42:57.368,-81:08:35.19
#1642-645,radec gaincal,16:47:37.76,-64:38:00.20
#1646-50,radec gaincal,16:50:16.635,-50:44:48.37
#1657-56,radec gaincal,17:01:44.855,-56:21:55.97
#1658-62,radec gaincal,17:03:36.532,-62:12:40.09
1718-649,radec gaincal,17:23:41.029,-65:00:36.61
#1722-55,radec gaincal,17:26:49.615,-55:29:40.60
#1722-64,radec gaincal,17:26:57.813,-64:27:52.79
#1729-37,radec gaincal,17:33:15.184,-37:22:32.43
1740-517,radec gaincal,17:44:25.454,-51:44:43.77
#1743-531,radec gaincal,17:47:20.20,-53:10:20.3
#1756-663,radec gaincal,18:01:18.092,-66:23:01.80
#1758-651,radec gaincal,18:03:23.497,-65:07:36.76
#1759-39,radec gaincal,18:02:42.669,-39:40:07.97
1814-519,radec gaincal,18:18:06.50,-51:58:08.30
1814-637,radec gaincal,18:19:35.002,-63:45:48.16
1815-553,radec gaincal,18:19:45.400,-55:21:20.74
#1822-36,radec gaincal,18:26:08.127,-36:50:49.87
#1823-455,radec gaincal,18:27:10.226,-45:33:10.05
#1824-582,radec gaincal,18:29:12.403,-58:13:55.22
1827-360,radec gaincal,18:30:58.88,-36:02:30.10
1829-718,radec gaincal,18:35:37.204,-71:49:58.22
1831-711,radec gaincal,18:37:28.716,-71:08:43.55
#1849-36,radec gaincal,18:53:17.916,-36:28:42.37
#1853-534,radec gaincal,18:57:00.451,-53:25:00.38
1903-802,radec gaincal,19:12:40.021,-80:10:05.94
#1925-610,radec gaincal,19:30:06.160,-60:56:09.18
#1933-400,radec gaincal,19:37:16.218,-39:58:01.55
1933-587,radec gaincal,19:37:32.37,-58:38:27.80
1934-638,radec gaincal,19:39:25.026,-63:42:45.63
1935-692,radec gaincal,19:40:25.529,-69:07:56.97
#1941-554,radec gaincal,19:45:24.243,-55:20:48.77
#1950-613,radec gaincal,19:55:10.772,-61:15:19.15
#1953-325,radec gaincal,19:56:59.446,-32:25:45.87
1954-388,radec gaincal,19:57:59.819,-38:45:06.36
1955-357,radec gaincal,19:59:03.68,-35:34:32.30
#1959-63,radec gaincal,20:04:29.477,-63:47:23.42
#2000-330,radec gaincal,20:03:24.117,-32:51:45.13
2004-447,radec gaincal,20:07:55.192,-44:34:44.36
2005-489,radec gaincal,20:09:25.391,-48:49:53.72
#2016-615,radec gaincal,20:21:01.323,-61:24:49.13
#2030-689,radec gaincal,20:35:48.845,-68:46:33.72
2052-474,radec gaincal,20:56:16.40,-47:14:47.80
#2058-425,radec gaincal,21:01:59.115,-42:19:16.16
#2059-786,radec gaincal,21:05:44.961,-78:25:34.54
#2101-715,radec gaincal,21:06:02.891,-71:22:18.03
#2102-659,radec gaincal,21:06:59.729,-65:47:43.55
#2105-489,radec gaincal,21:08:50.88,-48:46:21.80
2106-413,radec gaincal,21:09:33.189,-41:10:20.60
#2109-811,radec gaincal,21:16:30.846,-80:53:55.22
#2117-61,radec gaincal,21:21:04.067,-61:11:24.27
#2117-642,radec gaincal,21:21:55.019,-64:04:29.76
#2134-470,radec gaincal,21:38:01.056,-46:46:40.06
2142-758,radec gaincal,21:47:12.730,-75:36:13.22
#2146-783,radec gaincal,21:52:03.155,-78:07:06.64
2149-306,radec gaincal,21:51:55.524,-30:27:53.69
2205-636,radec gaincal,22:08:47.235,-63:25:47.45
2211-388,radec gaincal,22:14:38.569,-38:35:45.00
2213-456,radec gaincal,22:16:56.09,-45:21:42.20
#2215-508,radec gaincal,22:18:19.028,-50:38:41.89
2226-411,radec gaincal,22:29:18.61,-40:51:31.59
2227-399,radec gaincal,22:30:40.279,-39:42:52.06
2232-488,radec gaincal,22:35:13.237,-48:35:58.79
2244-372,radec gaincal,22:47:03.98,-36:57:44.80
2245-328,radec gaincal,22:48:38.686,-32:35:52.19
2254-367,radec gaincal,22:57:10.615,-36:27:43.91
2259-375,radec gaincal,23:02:23.906,-37:18:06.82
2310-417,radec gaincal,23:12:55.626,-41:26:55.77
2311-452,radec gaincal,23:14:09.384,-44:55:49.24
#2311-477,radec gaincal,23:13:51.900,-47:29:11.97
#2312-319,radec gaincal,23:14:48.501,-31:38:39.52
2313-438,radec gaincal,23:16:21.101,-43:37:46.76
#2314-340,radec gaincal,23:16:43.382,-33:49:12.31
2321-375,radec gaincal,23:24:07.53,-37:14:24.70
2322-411,radec gaincal,23:25:03.384,-40:51:30.03
2323-407,radec gaincal,23:26:35.83,-40:27:26.91
2326-477,radec gaincal,23:29:17.704,-47:30:19.11
#2326-502,radec gaincal,23:29:20.876,-49:55:40.63
2327-459,radec gaincal,23:30:37.681,-45:39:57.95
#2329-384,radec gaincal,23:31:59.476,-38:11:47.65
2333-528,radec gaincal,23:36:12.145,-52:36:21.95
2337-334,radec gaincal,23:39:54.49,-33:10:18.30
2339-353,radec gaincal,23:41:45.87,-35:06:22.20
2353-686,radec gaincal,23:56:00.682,-68:20:03.47
2355-534,radec gaincal,23:57:53.266,-53:11:13.69
