 IAU NAME ALT NAME   RA(J2000.0)     DEC(J2000.0)  RA ERROR DEC ERROR  CCF  EPOCH   FIRST   LAST        #   DELAY RATE    PRI
                   HR MN    SEC     DG MN ARC SEC  TIME SEC ARC SEC          MJD     MJD     MJD       EXP   OBS   OBS

 0237-027 $        02 39 45.472256 -02 34 40.91315 0.000020 0.00054   0.000 49252.0 49252.0 49252.0      1    19    19     3
 0237+040 $        02 39 51.263040  04 16 21.41252 0.000006 0.00013  -0.574 48519.8 47940.0 49175.0     17    94    94     1
 0237-233 $        02 40  8.174612 -23 09 15.73643 0.000158 0.00258   0.000 48662.9 48125.0 49327.0     14    42    42     5
 0238-084 NGC1052  02 41  4.798495 -08 15 20.75044 0.000146 0.00075   0.000 47917.3 47175.0 48355.0      3    25    25     3
 0239+108 $        02 42 29.170841  11 01  0.72874 0.000004 0.00010  -0.572 48501.5 47510.0 49147.0     39   140   140     2
 0241+622 $        02 44 57.696814  62 28  6.51457 0.000810 0.00213   0.000 48659.5 48222.0 49097.0      2    13    13     3
 0248+430 $        02 51 34.536776  43 15 15.82921 0.000016 0.00020   0.098 48534.7 47930.0 49183.0      6    90    90     1
 0256+075 $        02 59 27.076621  07 47 39.64393 0.000007 0.00014  -0.534 48426.2 47010.0 49062.0     40   178   178     2
 0259+121 $        03 02 30.546776  12 18 56.74879 0.000020 0.00164   0.000 48698.2 47940.0 49032.0     10    23    23     3
 0300+470 $        03 03 35.242206  47 16 16.27580 0.000003 0.00005  -0.028 48224.2 45137.0 49210.0    639 20446 20446     1
 0302+625 $        03 06 42.659521  62 43  2.02443 0.000019 0.00015  -0.177 48803.4 48612.0 49032.0     11    36    36     2
 0306+102 $        03 09  3.623518  10 29 16.34140 0.000011 0.00018  -0.877 48325.9 47393.0 49253.0     18    67    67     2
 0309+411 $        03 13  1.962120  41 20  1.18396 0.000008 0.00010  -0.424 48418.7 47164.0 49030.0     23   113   113     1
 0316+413 3C84     03 19 48.160092  41 30 42.10384 0.000018 0.00025   0.000 47850.9 44088.0 49032.0     59   609   609     5
 0317+188 $        03 19 51.256598  19 01 31.29281 0.000117 0.00160   0.000 48982.3 48941.0 49030.0      3     5     5     3
 0319+121 $        03 21 53.103501  12 21 13.95431 0.000011 0.00028   0.322 47940.3 47018.0 49183.0      9   101   101     2
 0326+278 $        03 29 57.669406  27 56 15.49986 0.000012 0.00016  -0.774 48374.8 47164.0 49175.0     23    89    89     2
 0333+321 NRAO140  03 36 30.107601  32 18 29.34271 0.000004 0.00007  -0.133 48560.4 44772.0 49365.0     64   369   369     1
 0334+014 $        03 37 17.113468  01 37 22.77465 0.003751 0.02906   0.000 49176.0 49176.0 49176.0      1     2     2     3
 0336-019 CTA26    03 39 30.937795 -01 46 35.80310 0.000001 0.00006   0.029 48587.4 44772.0 49405.0    122  1701  1701     1
 0338-214 $        03 40 35.607912 -21 19 31.17067 0.000064 0.00038   0.540 47022.0 46874.0 47170.0      2    16    16     2
 0341+158 $        03 44 23.172188  15 59 43.37011 0.000011 0.00036  -0.508 48575.0 47393.0 49032.0     10    20    20     2
 0342+147 $        03 45  6.416547  14 53 49.55876 0.000007 0.00012  -0.635 48479.8 47393.0 49252.0     22   177   177     2
 0355+508 NRAO150  03 59 29.747263  50 57 50.16202 0.000005 0.00006  -0.032 46489.4 44088.0 49322.0     99  2833  2833     1
 0400+258 $        04 03  5.586052  26 00  1.50337 0.000006 0.00011  -0.364 48257.3 47004.0 49183.0     36   192   192     1
 0403-132 $        04 05 34.003415 -13 08 13.68922 0.000049 0.00043   0.000 47175.0 47175.0 47175.0      1    12    12     3
 0405-123 $        04 07 48.430857 -12 11 36.65881 0.000253 0.00176   0.000 48765.0 48765.0 48765.0      1     4     4     3
 0405+305 $        04 08 20.377553  30 32 30.49137 0.000047 0.00133   0.666 49208.4 49032.0 49327.0      5    20    20     2
 0406-127 $        04 09  5.769725 -12 38 48.14275 0.000013 0.00021  -0.824 48404.2 47776.0 49030.0     16    26    26     2
 0406+121 $        04 09 22.008731  12 17 39.84825 0.000008 0.00013  -0.751 48266.1 46976.0 49175.0     25   141   141     2
 0414-189 $        04 16 36.544460 -18 51  8.33936 0.000042 0.00041   0.361 47004.5 46839.0 47170.0      2    22    22     2
 0420-014 $        04 23 15.800725 -01 20 33.06440 0.000001 0.00005   0.000 48198.3 44772.0 49398.0    975 21222 21222     1
 0420+417 $        04 23 56.009777  41 50  2.71343 0.000010 0.00017   0.309 48174.7 47567.0 49120.0     17   153   153     1
 0422+004 $        04 24 46.842067  00 36  6.33058 0.000025 0.00072   0.753 48116.4 46975.0 49063.0      7    46    46     2
 0423+051 $        04 26 36.604105  05 18 19.87280 0.000019 0.00058   0.199 48668.8 48193.0 49253.0      8    62    62     2
 0425+048 $        04 27 47.570597  04 57  8.32553 0.000106 0.00160   0.000 48250.5 47393.0 49030.0     11    19    19     3
 0430+052 3C120    04 33 11.095517  05 21 15.62031 0.000028 0.00061   0.000 47804.0 44088.0 49032.0     19   154   154     5
 0434-188 $        04 37  1.482726 -18 44 48.61231 0.000005 0.00009  -0.582 48354.1 46874.0 49215.0    105   316   316     1
 0440-003 NRAO190  04 42 38.660738 -00 17 43.41889 0.000011 0.00027   0.092 47798.4 47010.0 48879.0     14   107   107     2
 0440+345 $        04 43 31.635314  34 41  6.66327 0.000043 0.00042  -0.930 48407.7 47717.0 49030.0     10    17    17     2
