 IAU NAME ALT NAME   RA(J2000.0)     DEC(J2000.0)  RA ERROR DEC ERROR  CCF  EPOCH   FIRST   LAST        #   DELAY RATE    PRI
                   HR MN    SEC     DG MN ARC SEC  TIME SEC ARC SEC          MJD     MJD     MJD       EXP   OBS   OBS

 1111+149 $        11 13 58.695095  14 42 26.95322 0.000009 0.00018  -0.361 47894.2 47004.0 49175.0     16   143   143     2
 1116+128 $        11 18 57.301445  12 34 41.71862 0.000005 0.00013  -0.399 48498.7 47273.0 49032.0     22   105   105     1
 1117+146 $        11 20 27.807256  14 20 54.99307 0.000364 0.00609   0.000 49097.0 49097.0 49097.0      1     3     3     3
 1123+264 $        11 25 53.711940  26 10 19.97906 0.000003 0.00006  -0.238 48432.2 46976.0 49365.0    123   804   804     1
 1124-186 $        11 27  4.392416 -18 57 17.44030 0.000005 0.00013  -0.397 48400.9 46874.0 49055.0     77   256   256     2
 1127-145 $        11 30  7.052599 -14 49 27.38744 0.000007 0.00017  -0.590 48602.9 48091.0 49097.0     18    60    60     2
 1128+385 $        11 30 53.282627  38 15 18.54748 0.000003 0.00005  -0.041 48736.1 45774.0 49366.0     47  1187  1187     1
 1128-047 $        11 31 30.516582 -05 00 19.65848 0.000208 0.00441   0.000 49098.0 49098.0 49098.0      1    11    11     3
 1130+009 $        11 33 20.055766  00 40 52.83795 0.000011 0.00023  -0.601 48168.5 47018.0 49267.0     16    82    82     1
 1143-245 $        11 46  8.103371 -24 47 32.89593 0.000056 0.00041  -0.085 47661.5 47639.0 47684.0      2    26    26     2
 1144+402 $        11 46 58.297935  39 58 34.30493 0.000004 0.00006  -0.069 47611.5 45137.0 49253.0    152  2054  2054     1
 1145-071 $        11 47 51.554024 -07 24 41.14010 0.000005 0.00010  -0.129 48634.4 47175.0 49365.0     40   274   274     1
 1147+245 $        11 50 19.212222  24 17 53.83575 0.000058 0.00052   0.000 48719.0 48719.0 48719.0      1    14    14     3
 1148-001 $        11 50 43.870772 -00 23 54.20408 0.000009 0.00022  -0.237 47986.8 47022.0 49267.0     18   128   128     1
 1150+812 $        11 53 12.499341  80 58 29.15468 0.000027 0.00007  -0.028 48296.4 46975.0 49295.0     26   421   421     1
 1150+497 $        11 53 24.466661  49 31  8.83025 0.000020 0.00021   0.296 48500.8 47930.0 49252.0      5    70    70     1
 1155+251 $        11 58 25.787517  24 50 17.96389 0.000025 0.00042   0.361 48670.7 48138.0 49253.0      6    69    69     2
 1156-094 $        11 59 12.711675 -09 40 52.04819 0.000027 0.00042  -0.870 48316.4 47776.0 48976.0     10    13    13     2
 1156+295 $        11 59 31.833922  29 14 43.82722 0.000002 0.00005  -0.100 48321.3 46976.0 49287.0    197  5625  5625     1
 1213-172 $        12 15 46.751699 -17 31 45.40310 0.000040 0.00065   0.000 46839.0 46839.0 46839.0      1    11    11     3
 1213+350 $        12 15 55.601079  34 48 15.22099 0.000019 0.00028   0.312 48534.0 48193.0 49175.0      9   105   105     2
 1215+303 $        12 17 52.081985  30 07  0.63621 0.000021 0.00041   0.461 48686.0 48433.0 49120.0      4    62    62     1
 1216+487 $        12 19  6.414775  48 29 56.16526 0.000018 0.00018   0.234 47992.0 46976.0 49183.0     10   113   113     1
 1219+285 $        12 21 31.690527  28 13 58.50038 0.000007 0.00013  -0.525 48261.0 44446.0 49062.0     24   192   192     2
 1219+044 $        12 22 22.549611  04 13 15.77688 0.000002 0.00007  -0.074 49290.4 48377.0 49405.0     38  1018  1018     1
 1221+809 $        12 23 40.493927  80 40  4.34050 0.000078 0.00022  -0.066 48671.7 48021.0 49295.0      7   135   135     1
 1222+037 $        12 24 52.421889  03 30 50.29398 0.000008 0.00018  -0.065 48156.9 46501.0 49267.0     45   178   178     2
 1226+373 $        12 28 47.423739  37 06 12.09616 0.000034 0.00028   0.135 48548.0 48377.0 48719.0      2    36    36     2
 1226+023 3C273B   12 29  6.699725  02 03  8.59893 0.000002 0.00004   0.000 46805.5 44088.0 49322.0    681 16057 16057     5
 1228+126 3C274    12 30 49.423397  12 23 28.04441 0.000009 0.00016  -0.341 47967.4 46501.0 49021.0     11    98    98     1
 1236+077 $        12 39 24.588346  07 30 17.19044 0.000023 0.00050   0.457 48737.0 48377.0 49097.0      2    35    35     2
 1243-072 $        12 46  4.232090 -07 30 46.57378 0.000011 0.00021  -0.628 47759.6 47175.0 48161.0     11    37    37     2
 1244-255 $        12 46 46.802021 -25 47 49.28790 0.000006 0.00009  -0.543 48569.2 46874.0 49364.0     64   275   275     1
 1252+119 $        12 54 38.255598  11 41  5.89551 0.000006 0.00015  -0.001 48451.6 46976.0 49253.0     30   177   177     1
 1253-055 3C279    12 56 11.166503 -05 47 21.52359 0.000003 0.00008  -0.063 47891.4 44088.0 49147.0    136  1682  1682     2
 1257+145 $        13 00 20.918856  14 17 18.53111 0.000084 0.00235   0.000 48957.3 48803.0 49327.0      6    17    17     3
 1302-102 $        13 05 33.014989 -10 33 19.42698 0.000006 0.00014  -0.575 48360.7 47175.0 49032.0     21    58    58     2
 1307+121 $        13 09 33.932417  11 54 24.55279 0.000054 0.00091   0.000 49098.0 49098.0 49098.0      1    21    21     3
 1308+326 $        13 10 28.663862  32 20 43.78314 0.000002 0.00004  -0.129 48417.9 44772.0 49405.0    578 19911 19911     1
 1315+346 OP326    13 17 36.494212  34 25 15.93255 0.000009 0.00014  -0.481 48511.4 47945.0 49327.0     16    34    34     2
 1323+321 $        13 26 16.511501  31 54  9.52107 0.000373 0.00391   0.000 48822.8 48222.0 49176.0      4    25    25     5
 1324+224 $        13 27  0.861320  22 10 50.16318 0.000005 0.00009  -0.582 48730.9 48428.0 49032.0     28    80    80     2
 1328+307 3C286    13 31  8.288147  30 30 32.96026 0.000047 0.00096   0.000 49043.3 48781.0 49252.0      3    24    24     3
 1334-127 $        13 37 39.782763 -12 57 24.69242 0.000001 0.00005   0.005 48592.2 46839.0 49405.0    710 12984 12984     1
 1338+381 $        13 40 22.951843  37 54 43.83469 0.000068 0.00070  -0.517 49044.8 48941.0 49176.0      4    22    22     2
 1342+662 $        13 43 45.959648  66 02 25.74529 0.000042 0.00026  -0.062 48326.3 47782.0 49176.0      3    60    60     2
 1342+663 $        13 44  8.679738  66 06 11.64374 0.000014 0.00009   0.246 48206.9 47451.0 49183.0     27   190   190     1
 1345+125 $        13 47 33.361684  12 17 24.23945 0.000047 0.00106   0.000 48491.1 47658.0 49175.0      7    46    46     5
 1347+539 $        13 49 34.656676  53 41 17.04020 0.000018 0.00021   0.190 48640.5 47930.0 49253.0      8   100   100     1
 1351-018 $        13 54  6.895308 -02 06  3.18998 0.000009 0.00018   0.120 48981.0 48572.0 49365.0     17    92    92     1
 1354+195 $        13 57  4.436671  19 19  7.37242 0.000003 0.00007  -0.371 47978.0 44446.0 49267.0     80  1131  1131     1
 1354-152 $        13 57 11.244960 -15 27 28.78581 0.000005 0.00009  -0.506 48248.5 46874.0 49055.0     85   280   280     2
 1357+769 $        13 57 55.371626  76 43 21.05116 0.000014 0.00005  -0.065 48516.4 47010.0 49366.0     10   708   708     1
 1402-012 $        14 04 45.895202 -01 30 21.95048 0.000209 0.00227   0.000 48852.0 48663.0 49097.0      3    18    18     3
 1402+044 $        14 05  1.119815  04 15 35.81974 0.000009 0.00022  -0.191 49141.7 48887.0 49365.0     15    74    74     1
 1404+286 OQ208    14 07  0.394420  28 27 14.69008 0.000002 0.00005  -0.100 47350.5 44340.0 49183.0    994 30589 30589     1
 1406-076 $        14 08 56.481179 -07 52 26.66554 0.000011 0.00017  -0.767 48332.4 47175.0 49030.0     17    35    35     2
 1409+218 $        14 11 54.862007  21 34 23.44007 0.000075 0.00241   0.000 48862.0 48862.0 48862.0      1    16    16     3
 1413+135 $        14 15 58.817498  13 20 23.71324 0.000006 0.00016  -0.353 48326.5 45137.0 49252.0     24    94    94     2
 1416+067 $        14 19  8.180426  06 28 34.80562 0.000076 0.00111   0.436 48709.4 48193.0 49176.0      5    41    41     2
 1418+546 $        14 19 46.597438  54 23 14.78719 0.000005 0.00006  -0.035 47995.2 45137.0 49120.0    127  2047  2047     1
 1417+273 $        14 19 59.297034  27 06 25.55396 0.000047 0.00124   0.000 48862.0 48862.0 48862.0      1    25    25     3
 1420+326 $        14 22 30.379295  32 23 10.44072 0.000752 0.04299   0.000 48862.0 48862.0 48862.0      1     2     2     3
 1424+240 $        14 27  0.391818  23 48  0.03642 0.000048 0.00109   0.000 48862.0 48862.0 48862.0      1    32    32     3
 1430-178 $        14 32 57.690572 -18 01 35.24740 0.000027 0.00036  -0.929 48501.3 48159.0 48976.0     10    16    16     2
 1432+200 $        14 34 39.793330  19 52  0.73858 0.000138 0.00100   0.000 48862.0 48862.0 48862.0      1    12    12     3
 1433+304 $        14 35 35.402094  30 12 24.52459 0.000100 0.00402   0.000 48862.0 48862.0 48862.0      1     7     7     3
 1435+638 $        14 36 45.802174  63 36 37.86663 0.000023 0.00016   0.300 47992.3 47022.0 49021.0     11   165   165     1
 1435-218 $        14 38  9.469383 -22 04 54.74716 0.000013 0.00018  -0.773 48684.8 47175.0 49329.0     21    51    51     1
 1442+101 OQ172    14 45 16.465237  09 58 36.07312 0.000019 0.00026   0.609 48582.7 47010.0 49327.0     29   150   150     2
 1443-162 $        14 45 53.376295 -16 29  1.61832 0.000015 0.00022  -0.864 48445.0 47940.0 48976.0     11    25    25     2
 1445-161 $        14 48 15.054149 -16 20 24.54837 0.000013 0.00019  -0.864 48459.4 47604.0 49030.0     15    35    35     2
 1448+762 $        14 48 28.779005  76 01 11.59709 0.000102 0.00022   0.362 48143.3 47018.0 49295.0      7    62    62     2
 1458+718 3C309.1  14 59  7.583921  71 40 19.86790 0.000041 0.00022   0.093 48490.4 48193.0 49267.0      8    93    93     2
 1459+480 $        15 00 48.654243  47 51 15.53807 0.000017 0.00021   0.175 48147.1 47458.0 49252.0      8    84    84     1
 1502+106 $        15 04 24.979782  10 29 39.19877 0.000001 0.00005  -0.079 48177.4 44446.0 49147.0    495 10728 10728     1
 1502+036 $        15 05  6.477184  03 26 30.81343 0.000020 0.00061  -0.243 49017.5 48852.0 49183.0      2    44    44     2
 1504+377 $        15 06  9.529984  37 30 51.13235 0.000008 0.00015  -0.153 48572.1 46976.0 49032.0     14    84    84     1
 1504-166 $        15 07  4.786927 -16 52 30.26661 0.000005 0.00010  -0.593 48524.8 46839.0 49032.0     31    94    94     2
 1510-089 $        15 12 50.532914 -09 05 59.82896 0.000001 0.00006  -0.071 48457.8 44772.0 49257.0    269  3067  3067     2
 1511-100 $        15 13 44.893431 -10 12  0.26371 0.000009 0.00016  -0.605 48292.0 46874.0 48976.0     18    45    45     2
 1514+197 $        15 16 56.796187  19 32 12.99191 0.000015 0.00037   0.115 48652.5 48433.0 49062.0      4    82    82     1
 1514-241 $        15 17 41.813135 -24 22 19.47543 0.000014 0.00018  -0.803 48291.6 46839.0 48976.0     14    41    41     2
 1519-273 $        15 22 37.675973 -27 30 10.78472 0.000005 0.00008  -0.437 48433.2 46874.0 49365.0     91   277   277     1
 1532+016 $        15 34 52.453666  01 31  4.20693 0.000007 0.00015  -0.613 48532.4 47406.0 49176.0     21   107   107     1
 1538+149 $        15 40 49.491512  14 47 45.88487 0.000005 0.00011  -0.572 48306.3 45137.0 49063.0     33   156   156     2
 1547+507 $        15 49 17.468541  50 38  5.78792 0.000019 0.00019   0.503 47695.6 47004.0 49120.0     10    89    89     1
 1546+027 $        15 49 29.436839  02 37  1.16373 0.000005 0.00014  -0.452 48396.2 47004.0 49253.0     23   124   124     2
 1548+056 $        15 50 35.269242  05 27 10.44846 0.000001 0.00006   0.010 47785.3 44772.0 49365.0    233  5150  5150     1
 1555+001 $        15 57 51.433957 -00 01 50.41345 0.000004 0.00009  -0.571 48354.2 44772.0 49032.0     52   204   204     2
 1555-140 $        15 58 21.949592 -14 09 59.07135 0.000330 0.00451   0.000 48832.0 48703.0 48976.0      4     4     4     3
 1600+335 $        16 02  7.263478  33 26 53.07278 0.000007 0.00021  -0.095 48819.3 48102.0 49032.0      7    23    23     2
 1606+106 $        16 08 46.203178  10 29  7.77603 0.000001 0.00005   0.025 48959.3 45137.0 49405.0    274  7590  7590     1
 1607+268 CTD93    16 09 13.320860  26 41 29.03795 0.000027 0.00064   0.510 47795.8 44088.0 49253.0      8    63    63     2
 1611+343 $        16 13 41.064262  34 12 47.90895 0.000002 0.00005   0.054 48480.1 44772.0 49405.0    687 22829 22829     1
 1614+051 $        16 16 37.556809  04 59 32.73678 0.000006 0.00014  -0.188 48712.1 47604.0 49365.0     26   154   154     1
 1616+063 $        16 19  3.687675  06 13  2.24362 0.000017 0.00046   0.145 48813.5 48193.0 49183.0      4    70    70     1
 1622-253 $        16 25 46.891617 -25 27 38.32613 0.000003 0.00005   0.000 48541.4 46839.0 49398.0    501  5896  5896     5
 1624+416 $        16 25 57.669718  41 34 40.62908 0.000011 0.00013  -0.193 48369.0 46975.0 49267.0     24   130   130     1
 1622-297 $        16 26  6.020874 -29 51 26.97081 0.000017 0.00018  -0.801 48344.4 46839.0 49030.0     16    91    91     2
 1633+382 1633+38  16 35 15.492981  38 08  4.50054 0.000003 0.00005   0.053 47961.2 44446.0 49287.0    367 10706 10706     1
 1637+574 $        16 38 13.456330  57 20 23.97898 0.000005 0.00005   0.117 47705.2 44898.0 49365.0    166  2622  2622     1
 1638+398 NRAO512  16 40 29.632786  39 46 46.02855 0.000003 0.00005   0.077 48842.3 45321.0 49366.0     82  3447  3447     1
 1642+690 $        16 42  7.848530  68 56 39.75623 0.000010 0.00006   0.099 47504.1 44088.0 49365.0    115  1540  1540     1
 1641+399 3C345    16 42 58.809972  39 48 36.99390 0.000003 0.00005   0.065 46767.2 44088.0 49147.0    673 25127 25127     1
 1647-296 $        16 50 39.544195 -29 43 46.95495 0.000043 0.00047  -0.958 48709.8 48345.0 49030.0     10    11    11     2
 1652+398 DA426    16 53 52.216709  39 45 36.60940 0.000009 0.00017   0.083 47980.4 46975.0 49062.0     13    98    98     1
 1656+348 $        16 58  1.419214  34 43 28.40246 0.000046 0.00051  -0.170 49096.0 48852.0 49253.0      3    32    32     2
 1656+477 $        16 58  2.779603  47 37 49.23105 0.000031 0.00032   0.000 49183.0 49183.0 49183.0      1    24    24     3
 1655+077 $        16 58  9.011471  07 41 27.54069 0.000009 0.00017  -0.571 48150.5 47406.0 49252.0     11    81    81     1
 1656+053 $        16 58 33.447335  05 15 16.44460 0.000005 0.00014  -0.132 48081.2 44772.0 49098.0     27   248   248     1
 1657-261 $        17 00 53.154042 -26 10 51.72459 0.000008 0.00011  -0.699 48348.9 46874.0 49030.0     29   109   109     1
 1705+456 $        17 07 17.753314  45 36 10.55183 0.000094 0.00099   0.451 48729.8 48433.0 49267.0      4    26    26     2
 1705+018 $        17 07 34.415276  01 48 45.69920 0.000007 0.00019  -0.060 48819.2 48193.0 49365.0     13   155   155     1
 1706-174 $        17 09 34.345438 -17 28 53.36463 0.000050 0.00097   0.000 48591.2 48091.0 49030.0     12    29    29     3
 1717+178 $        17 19 13.048480  17 45  6.43699 0.000011 0.00023   0.376 48039.5 47010.0 49063.0     11   115   115     1
 1726+455 $        17 27 27.650822  45 30 39.73137 0.000005 0.00007   0.057 49192.1 48719.0 49366.0     10   405   405     1
 1727+502 $        17 28 18.623922  50 13 10.46979 0.000114 0.00070  -0.332 48071.0 47458.0 49176.0      7    33    33     2
 1725+044 $        17 28 24.952721  04 27  4.91358 0.000013 0.00035   0.191 48485.1 47930.0 49176.0      7   140   140     1
 1730-130 NRAO530  17 33  2.705777 -13 04 49.54777 0.000001 0.00005  -0.085 48151.7 45494.0 49147.0    358  5276  5276     1
 1732+389 $        17 34 20.578540  38 57 51.44281 0.000005 0.00008  -0.211 48517.4 46976.0 49062.0     36   167   167     1
 1738+476 $        17 39 57.129077  47 37 58.36138 0.000014 0.00016   0.240 47981.7 47287.0 49267.0     11   126   126     1
 1739+522 $        17 40 36.977865  52 11 43.40733 0.000003 0.00004   0.136 48587.0 47164.0 49405.0    733 43216 43216     1
 1741-038 $        17 43 58.856135 -03 50  4.61639 0.000001 0.00005   0.000 48303.9 44772.0 49405.0   1040 25785 25785     1
 1743+173 $        17 45 35.208176  17 20  1.42325 0.000005 0.00014  -0.342 48560.0 46976.0 49032.0     23    94    94     1
 1745+624 $        17 46 14.034153  62 26 54.73810 0.000011 0.00009   0.104 49159.9 48915.0 49362.0     16   289   289     1
 1749+701 $        17 48 32.840181  70 05 50.76854 0.000052 0.00021   0.085 47660.3 44202.0 49295.0      9    95    95     2
 1749+096 $        17 51 32.818575  09 39  0.72852 0.000001 0.00005   0.082 48480.7 44446.0 49405.0    524  9458  9458     1
 1748-253 $        17 51 51.263061 -25 24  0.05901 0.000096 0.00011   0.000 48603.0 48109.0 49097.0      2    10    10     3
 1751+441 $        17 53 22.647921  44 09 45.68593 0.000019 0.00023   0.371 48434.0 47930.0 49120.0      4    63    63     1
 1751+288 $        17 53 42.473635  28 48  4.93886 0.000008 0.00014  -0.354 48297.4 47004.0 49267.0     18    83    83     2
 1803+784 $        18 00 45.683959  78 28  4.01822 0.000013 0.00004   0.147 47743.8 45137.0 49405.0   1389 57645 57645     1
 1800+440 $        18 01 32.314931  44 04 21.90086 0.000023 0.00033   0.523 48419.7 48193.0 49063.0      7    55    55     1
 1807+698 3C371    18 06 50.680654  69 49 28.10831 0.000013 0.00007   0.138 48412.5 47164.0 49252.0     35   240   240     1
 1817-254 $        18 20 57.848978 -25 28 12.58271 0.000624 0.00191   0.000 48938.7 48803.0 49055.0      3     8     8     3
 1826+796 $        18 23 14.108896  79 38 49.00211 0.000446 0.00031   0.000 48555.3 47018.0 49295.0     15    81    81     5
 1821+107 $        18 24  2.855249  10 44 23.77378 0.000009 0.00024  -0.188 47814.0 45465.0 49147.0     17   148   148     2
 1823+568 $        18 24  7.068380  56 51  1.49060 0.000010 0.00009   0.079 47945.7 45137.0 49253.0     80   399   399     1
 1830+285 $        18 32 50.185644  28 33 35.95518 0.000021 0.00042  -0.281 48560.2 48356.0 49120.0      6    45    45     2
 1845+797 3C390.3  18 42  8.989976  79 46 17.12778 0.000069 0.00017  -0.414 48218.9 44202.0 49120.0     14   143   143     1
 1842+681 $        18 42 33.641653  68 09 25.22790 0.000030 0.00017   0.020 48164.7 47164.0 49062.0      6   104   104     1
 1849+670 $        18 49 16.072306  67 05 41.67999 0.000037 0.00019   0.136 48915.5 48648.0 49183.0      2    51    51     2
 1856+736 $        18 54 57.299955  73 51 19.90724 0.000054 0.00026   0.355 48407.6 47010.0 49295.0      7    91    91     1
 1901+319 3C395    19 02 55.938918  31 59 41.70162 0.000011 0.00021  -0.226 48595.9 48102.0 49252.0      8   110   110     1
 1908-201 $        19 11  9.652869 -20 06 55.10847 0.000009 0.00012  -0.808 48500.3 46839.0 49097.0     33   100   100     1
 1920-211 $        19 23 32.189808 -21 04 33.33280 0.000008 0.00012  -0.800 48489.2 47406.0 49032.0     34    76    76     2
 1921-293 $        19 24 51.055952 -29 14 30.12050 0.000002 0.00005  -0.097 48204.5 45494.0 49366.0    495  5595  5595     2
 1923+210 $        19 25 59.605376  21 06 26.16196 0.000003 0.00007  -0.123 48455.9 45137.0 49246.0     96   591   591     1
 1928+738 $        19 27 48.495198  73 58  1.56969 0.000014 0.00006   0.150 48125.4 44771.0 49295.0    105   863   863     1
 1929+226 $        19 31 24.916779  22 43 31.25860 0.000011 0.00025  -0.385 48662.0 48612.0 48708.0      4    10    10     2
 1932+204 $        19 35 10.472889  20 31 54.15368 0.000051 0.00075   0.486 48925.8 48803.0 49027.0      4    12    12     2
 1936-155 $        19 39 26.657724 -15 25 43.05774 0.000013 0.00019  -0.861 48292.4 47175.0 49097.0     19    54    54     1
 1937-101 $        19 39 57.256537 -10 02 41.51878 0.000028 0.00101  -0.332 48603.0 48109.0 49097.0      2    31    31     2
 1943+228 $        19 46  6.251857  23 00  4.41473 0.000556 0.00350   0.000 48839.0 48796.0 48918.0      3    10    10     3
 1947+079 $        19 50  5.539919  08 07 13.98045 0.000042 0.00075   0.000 48144.0 47004.0 49364.0     29   185   185     5
 1951+355 $        19 53 30.875760  35 37 59.36024 0.000075 0.00129   0.000 49047.0 48918.0 49176.0      2    27    27     3
 1954+513 $        19 55 42.738284  51 31 48.54600 0.000007 0.00008   0.086 48332.9 45774.0 49175.0     29   333   333     1
 1955+335 $        19 57 40.549989  33 38 27.94669 0.000085 0.00131   0.000 49097.0 49097.0 49097.0      1    18    18     3
 1958-179 $        20 00 57.090440 -17 48 57.67213 0.000001 0.00005  -0.094 48746.8 46874.0 49398.0    439  4737  4737     1
 2007+777 $        20 05 30.998501  77 52 43.24736 0.000014 0.00004   0.096 49035.7 46501.0 49330.0    184  9382  9382     1
 2005+403 $        20 07 44.944880  40 29 48.60401 0.000147 0.00155   0.000 48192.4 44772.0 49183.0      7    43    43     3
 2008-068 OW-015   20 11 14.215859 -06 44  3.55543 0.000045 0.00066  -0.920 48611.5 48345.0 48976.0     11    17    17     2
 2008-159 $        20 11 15.710923 -15 46 40.25306 0.000007 0.00012  -0.686 48239.0 46839.0 48976.0     30    71    71     2
 2017+743 $        20 17 13.079288  74 40 47.99982 0.000029 0.00010   0.167 48360.1 47287.0 49295.0     18   112   112     1
 2021+614 $        20 22  6.681654  61 36 58.80468 0.000038 0.00020   0.000 48367.8 47164.0 49120.0     18   131   131     5
 2021+317 $        20 23 19.017345  31 53  2.30557 0.000007 0.00016   0.135 48311.5 45774.0 49032.0     15   115   115     1
 2023+336 $        20 25 10.842080  33 43  0.21683 0.000043 0.00087   0.000 48699.0 48222.0 49176.0      2    24    24     3
 2030+547 $        20 31 47.958547  54 55  3.14048 0.000023 0.00033   0.194 48131.8 47022.0 49267.0      6    66    66     2
 2029+121 $        20 31 54.994277  12 19 41.34046 0.000007 0.00021   0.021 47857.5 47018.0 49183.0     11   110   110     1
 2037+511 3C418    20 38 37.034751  51 19 12.66243 0.000005 0.00005   0.070 48059.4 45137.0 49252.0    157  2262  2262     1
 2037-253 $        20 40  8.772894 -25 07 46.66240 0.000067 0.00055   0.000 47684.0 47684.0 47684.0      1     9     9     3
 2048+312 CL4      20 50 51.131519  31 27 27.37496 0.000108 0.00081   0.000 48693.6 48193.0 49175.0      5    26    26     3
 2051+745 $        20 51 33.734534  74 41 40.49801 0.000061 0.00020  -0.482 48581.4 47010.0 49295.0     15    61    61     2
 2059+034 $        21 01 38.834177  03 41 31.32188 0.000015 0.00047   0.025 48644.3 48433.0 49062.0      3    69    69     2
 2113+293 $        21 15 29.413455  29 33 38.36681 0.000005 0.00011  -0.003 48047.4 46976.0 49098.0     28   288   288     1
 2121+053 $        21 23 44.517376  05 35 22.09339 0.000001 0.00002   0.000 47861.7 44772.0 49322.0    478 13522 13522     5
 2126-158 $        21 29 12.175895 -15 38 41.04033 0.000008 0.00015  -0.506 48753.5 47175.0 49365.0     28    91    91     2
 2128+048 $        21 30 32.877524  05 02 17.47511 0.000051 0.00058   0.000 48403.7 47287.0 49267.0     22    76    76     5
 2128-123 $        21 31 35.261729 -12 07  4.79584 0.000002 0.00006  -0.031 48677.2 45465.0 49398.0    343  3474  3474     2
 2131-021 $        21 34 10.309606 -01 53 17.23848 0.000004 0.00009  -0.549 48397.0 47175.0 49183.0     49   173   173     1
 2134+004 2134+00  21 36 38.586301  00 41 54.21395 0.000002 0.00007   0.000 46755.7 44088.0 49322.0    484  8466  8466     5
 2136+141 $        21 39  1.309274  14 23 35.99225 0.000005 0.00011  -0.183 48292.9 45465.0 49063.0     19   185   185     1
 2143-156 $        21 46 22.979341 -15 25 43.88492 0.000011 0.00020  -0.730 48705.0 48196.0 48983.0     11    19    19     2
 2144+092 $        21 47 10.162973  09 29 46.67250 0.000006 0.00012  -0.211 48173.9 46975.0 49252.0     17   217   217     1
 2145+067 $        21 48  5.458671  06 57 38.60437 0.000001 0.00004   0.028 48452.3 44772.0 49405.0    769 17692 17692     1
 2149+056 $        21 51 37.875492  05 52 12.95483 0.000007 0.00014  -0.658 48316.1 45465.0 49253.0     20   114   114     1
 2150+173 $        21 52 24.819392  17 34 37.79495 0.000007 0.00017  -0.041 48419.1 47004.0 49175.0     17   133   133     2
 2155-152 $        21 58  6.281901 -15 01  9.32738 0.000006 0.00010  -0.549 48340.0 46834.0 49327.0     32   120   120     2
 2200+420 VR422201 22 02 43.291374  42 16 39.97990 0.000003 0.00004  -0.051 46929.0 44088.0 49267.0    699 20192 20192     1
 2201+315 $        22 03 14.975779  31 45 38.26985 0.000002 0.00004   0.000 48721.0 45491.0 49405.0    110  4007  4007     1
 2209+236 $        22 12  5.966302  23 55 40.54368 0.000009 0.00019   0.184 48479.9 48193.0 49183.0      8   127   127     1
 2210-257 $        22 13  2.497053 -25 29 30.08259 0.002548 0.00763   0.000 47022.0 46874.0 47170.0      2     5     5     3
 2216-038 $        22 18 52.037721 -03 35 36.87903 0.000001 0.00005   0.128 47857.2 44772.0 49253.0    364  8011  8011     1
 2223-052 3C446    22 25 47.259294 -04 57  1.39016 0.000006 0.00012  -0.708 48352.5 44772.0 49267.0     26    91    91     2
 2227-088 $        22 29 40.084326 -08 32 54.43477 0.000007 0.00013  -0.776 48280.4 45465.0 49030.0     28    67    67     1
 2229+695 $        22 30 36.469726  69 46 28.07688 0.000046 0.00018   0.157 47999.8 47458.0 49252.0     12    81    81     1
 2230+114 CTA102   22 32 36.408901  11 43 50.90439 0.000003 0.00006  -0.115 48181.0 46975.0 49175.0    127   964   964     1
 2234+282 $        22 36 22.470863  28 28 57.41338 0.000002 0.00004  -0.051 48406.6 45724.0 49366.0    815 23194 23194     1
 2233-148 $        22 36 34.087124 -14 33 22.18865 0.000013 0.00023  -0.629 48427.0 47175.0 48976.0     10    20    20     2
 2243-123 $        22 46 18.231973 -12 06 51.27739 0.000003 0.00008  -0.438 48476.8 44772.0 49152.0     81   345   345     2
 2251+158 3C454.3  22 53 57.747931  16 08 53.56097 0.000001 0.00002   0.000 46736.8 44088.0 49322.0    647 17789 17789     5
 2252-089 $        22 55  4.239808 -08 44  4.02134 0.000017 0.00033  -0.778 48567.8 47393.0 49032.0     13    21    21     2
 2253+417 $        22 55 36.707826  42 02 52.53265 0.000011 0.00012  -0.149 48122.5 47004.0 49062.0     40   227   227     2
 2254+074 $        22 57 17.303110  07 43 12.30314 0.000009 0.00018  -0.457 48170.1 47010.0 49120.0     24   133   133     2
 2254+024 $        22 57 17.563082  02 43 17.51221 0.000009 0.00016  -0.676 48473.5 47393.0 49183.0     20   115   115     2
 2255-282 $        22 58  5.962889 -27 58 21.25588 0.000002 0.00005   0.033 48420.9 46874.0 49366.0    481  4229  4229     2
 2318+049 $        23 20 44.856606  05 13 49.95293 0.000006 0.00012  -0.648 48201.2 47018.0 49253.0     29   146   146     2
 2319+272 $        23 21 59.862234  27 32 46.44380 0.000009 0.00021   0.141 48254.2 47022.0 49175.0     18   112   112     1
 2320+506 $        23 22 25.982139  50 57 51.96427 0.000042 0.00034   0.000 48719.0 48719.0 48719.0      1    27    27     3
 2320-035 $        23 23 31.953750 -03 17  5.02312 0.000005 0.00011  -0.602 48569.6 47393.0 49183.0     44   170   170     1
 2325-150 $        23 27 47.964136 -14 47 55.74986 0.000058 0.00072   0.000 47175.0 47175.0 47175.0      1     7     7     3
 2328+107 $        23 30 40.852238  11 00 18.71006 0.000006 0.00012  -0.491 48222.5 46976.0 49120.0     23   134   134     1
 2329-162 $        23 31 38.652421 -15 56 57.00838 0.000042 0.00044   0.000 47175.0 47175.0 47175.0      1     8     8     3
 2331-240 $        23 33 55.237843 -23 43 40.65760 0.000016 0.00021  -0.899 48518.4 46874.0 49176.0     19    52    52     2
