#,SRC,Cal Tag,RA,Dec
110,J011834-184914,radec gaincal,01:18:34.260,-18:49:14.900
111,J012227-042127,radec gaincal,01:22:27.920,-4:21:27.500
112,J012709-810815,radec gaincal,01:27:09.750,-81:08:15.200
113,J012730-140257,radec gaincal,01:27:30.240,-14:02:57.100
114,J013028-261000,radec gaincal,01:30:28.080,-26:10:0.300
115,J013738-243054,radec gaincal,01:37:38.090,-24:30:54.400
116,J014127-270607,radec gaincal,01:41:27.170,-27:06:7.600
117,J015310-331024,radec gaincal,01:53:10.120,-33:10:25.300
118,J015647-361609,radec gaincal,01:56:47.530,-36:16:8.300
119,J015741-104340,radec gaincal,01:57:41.600,-10:43:40.700
120,J020012-305325,radec gaincal,02:00:12.150,-30:53:26.500
121,J0201-1132,radec gaincal,02:01:57.16,-11:32:33.13
123,J0203-4349,radec gaincal,02:03:40.75,-43:49:50.9
124,J020457-170119,radec gaincal,02:04:57.680,-17:01:19.400
125,J021046-510102,radec gaincal,02:10:46.080,-51:01:2.200
126,J021757-163110,radec gaincal,02:17:57.150,-16:31:10.400
127,J022054-015651,radec gaincal,02:20:54.280,-1:56:51.800
128,J022502-231247,radec gaincal,02:25:02.610,-23:12:47.600
129,J022508-003531,radec gaincal,02:25:08.080,-0:35:31.800
130,J023253-064553,radec gaincal,02:32:53.910,-6:45:53.200
131,J023324-232105,radec gaincal,02:33:24.740,-23:21:5.400
132,J023507-040205,radec gaincal,02:35:07.030,-4:02:5.100
133,J023743-193235,radec gaincal,02:37:43.780,-19:32:35.400
134,J0240-2309,radec gaincal,02:40:08.174568,-23:09:15.7305450
135,J024008-230916,radec gaincal,02:40:08.140,-23:09:16.000
136,J0252-712,radec gaincal,02:52:46.15240,-71:04:35.2565
137,J025246-710436,radec gaincal,02:52:46.310,-71:04:36.200
138,J030313-001459,radec gaincal,03:03:13.050,-0:14:59.800
139,J030350-621125,radec gaincal,03:03:50.810,-62:11:25.400
140,J030455-355650,radec gaincal,03:04:56.110,-35:56:47.400
141,J030919-103839,radec gaincal,03:09:19.940,-10:38:39.500
142,J031522-031646,radec gaincal,03:15:22.780,-3:16:46.200
143,J031857+162833,radec gaincal,03:18:57.770,+16:28:33.100
144,J032320+053411,radec gaincal,03:23:20.310,+5:34:11.900
145,J032836-284147,radec gaincal,03:28:36.530,-28:41:47.900
146,J033004-163848,radec gaincal,03:30:04.830,-16:38:48.600
147,J033930-014635,radec gaincal,03:39:30.940,-1:46:35.800
148,J034035-211931,radec gaincal,03:40:35.620,-21:19:31.700
149,J034205-370321,radec gaincal,03:42:05.400,-37:03:20.900
150,J035145-274313,radec gaincal,03:51:35.80,-27:44:33.0
151,J035232-071104,radec gaincal,03:52:32.040,-7:11:4.400
152,J035946-370025,radec gaincal,03:59:46.680,-37:00:25.900
153,J040016-161013,radec gaincal,04:00:16.510,-16:10:13.600
155,J040533-130814,radec gaincal,04:05:33.940,-13:08:14.400
156,J040748-121133,radec gaincal,04:07:48.440,-12:11:33.400
157,J0408-6545,radec gaincal,04:08:20.380186,-65:45:09.0784890
159,J040848-750720,radec gaincal,04:08:48.470,-75:07:20.000
160,J040906-175709,radec gaincal,04:09:06.680,-17:57:9.400
161,J041222-005932,radec gaincal,04:12:22.630,-0:59:32.600
162,J041509-292906,radec gaincal,04:15:09.230,-29:29:6.000
163,J041604-205627,radec gaincal,04:16:04.330,-20:56:27.900
164,J041946-395005,radec gaincal,04:19:47.000,-39:50:3.700
165,J042056-622337,radec gaincal,04:20:56.190,-62:23:37.600
166,J042315-012032,radec gaincal,04:23:15.800,-1:20:32.400
167,J042346-340240,radec gaincal,04:23:46.880,-34:02:41.500
168,J042940-363055,radec gaincal,04:29:40.220,-36:30:56.000
169,J043300-295616,radec gaincal,04:33:00.380,-29:56:13.000
170,J043704+294014,radec gaincal,04:37:04.570,+29:40:14.200
171,J043736-295406,radec gaincal,04:37:36.590,-29:54:5.300
172,J044017-433309,radec gaincal,04:40:17.070,-43:33:9.000
173,J045314-280736,radec gaincal,04:53:14.670,-28:07:36.600
174,J045514-300642,radec gaincal,04:55:14.310,-30:06:47.200
175,J045550-461559,radec gaincal,04:55:50.540,-46:15:59.800
176,J051011-121045,radec gaincal,05:10:11.690,-12:10:45.500
177,J051100-220156,radec gaincal,05:11:00.630,-22:01:56.700
178,J051329-303015,radec gaincal,05:13:28.490,-30:30:33.800
179,J0521-2047,radec gaincal,05:21:38,-20:47:39
180,J052149-061251,radec gaincal,05:21:49.550,-6:12:51.400
181,J052257-362731,radec gaincal,05:22:58.030,-36:27:30.000
182,J053444+192721,radec gaincal,05:34:44.510,+19:27:21.700
184,J053850-440510,radec gaincal,05:38:50.180,-44:05:10.300
185,J055049-314426,radec gaincal,05:50:49.680,-31:44:26.100
186,J055615-322309,radec gaincal,05:56:15.460,-32:23:7.000
187,J060414-315555,radec gaincal,06:04:14.630,-31:55:56.600
188,J060759-083450,radec gaincal,06:07:59.740,-8:34:50.200
189,J060941-154240,radec gaincal,06:09:41.000,-15:42:40.500
190,J062032-251516,radec gaincal,06:20:32.140,-25:15:16.500
191,J062627-164035,radec gaincal,06:26:27.350,-16:40:35.300
192,J062710-055306,radec gaincal,06:27:10.060,-5:53:6.100
194,J063545-751615,radec gaincal,06:35:45.050,-75:16:15.300
195,J064544-155015,radec gaincal,06:45:44.270,-15:50:15.800
196,J0647-475,radec gaincal,06:48:48.45,-47:34:27.19
197,J064828-174405,radec gaincal,06:48:28.520,-17:44:5.000
198,J065717-320333,radec gaincal,06:57:16.480,-32:03:32.300
199,J070319-005102,radec gaincal,07:03:19.130,-0:51:2.400
200,J071020-034326,radec gaincal,07:10:20.130,-3:43:26.900
201,J071546-023101,radec gaincal,07:15:46.950,-2:31:1.300
202,J071717-250453,radec gaincal,07:17:17.630,-25:04:53.100
203,J072121-120532,radec gaincal,07:21:21.160,-12:05:32.700
204,J072550-005458,radec gaincal,07:25:50.680,-0:54:58.000
205,J073019-114112,radec gaincal,07:30:19.150,-11:41:12.300
206,J073042-262035,radec gaincal,07:30:42.230,-26:20:35.600
207,J073106-234148,radec gaincal,07:31:06.660,-23:41:48.500
208,J073545-173548,radec gaincal,07:35:45.840,-17:35:48.300
209,J073833-020421,radec gaincal,07:38:33.910,-2:04:21.100
210,J0743-6726,radec gaincal,07:43:31,-67:26:26
211,J0744-0629,radec gaincal,07:44:21.66,-06:29:35.9
212,J075130-385220,radec gaincal,07:51:30.330,-38:52:20.000
213,J075711-113756,radec gaincal,07:57:11.030,-11:37:56.600
214,J082057-125858,radec gaincal,08:20:57.480,-12:58:58.600
215,J082514-284705,radec gaincal,08:25:14.240,-28:47:5.500
216,J082606-353247,radec gaincal,08:26:06.540,-35:32:47.600
217,J082717-202622,radec gaincal,08:27:17.310,-20:26:22.900
218,J083711-195155,radec gaincal,08:37:11.230,-19:51:55.900
219,J084126-754031,radec gaincal,08:41:26.190,-75:40:31.100
220,J084649-294244,radec gaincal,08:46:49.030,-29:42:44.100
221,J085300-204726,radec gaincal,08:53:00.270,-20:47:26.300
222,J085348-142751,radec gaincal,08:53:48.920,-14:27:51.800
223,J085448+200630,radec gaincal,08:54:48.870,+20:06:30.700
224,J085711-033940,radec gaincal,08:57:11.670,-3:39:40.400
225,J085805-195036,radec gaincal,08:58:05.370,-19:50:36.200
226,J085938-192225,radec gaincal,08:59:38.650,-19:22:25.800
227,J090147-255519,radec gaincal,09:01:47.610,-25:55:19.400
228,J090216-141530,radec gaincal,09:02:16.850,-14:15:30.400
229,J090652-682939,radec gaincal,09:06:52.230,-68:29:39.900
230,J092129-261843,radec gaincal,09:21:29.350,-26:18:43.000
231,J092246-395934,radec gaincal,09:22:46.360,-39:59:34.000
232,J094336-081932,radec gaincal,09:43:36.860,-8:19:32.000
233,J102011-324534,radec gaincal,10:20:11.690,-32:45:34.800
234,J105104-313813,radec gaincal,10:51:04.750,-31:38:14.100
235,J105132-202347,radec gaincal,10:51:32.110,-20:23:47.900
236,J105533-283133,radec gaincal,10:55:33.480,-28:31:33.700
237,J105709-371830,radec gaincal,10:57:09.560,-37:18:30.400
238,J105829+013358,radec gaincal,10:58:29.620,+1:33:58.200
239,J110203-011618,radec gaincal,11:02:03.910,-1:16:18.300
240,J110622-210900,radec gaincal,11:06:22.180,-21:09:0.800
241,J110631-005251,radec gaincal,11:06:31.770,-0:52:51.500
242,J110708-444907,radec gaincal,11:07:08.560,-44:49:7.400
243,J111332-021255,radec gaincal,11:13:32.130,-2:12:55.200
244,J111917-052707,radec gaincal,11:19:17.360,-5:27:7.900
245,J112009-250807,radec gaincal,11:20:09.140,-25:08:7.200
246,J113007-144927,radec gaincal,11:30:07.050,-14:49:27.200
247,J113910-135042,radec gaincal,11:39:10.690,-13:50:42.900
248,J114134-285052,radec gaincal,11:41:34.540,-28:50:52.100
249,J114628-332840,radec gaincal,11:46:28.530,-33:28:43.200
250,J115043-002354,radec gaincal,11:50:43.880,-0:23:54.300
251,J115421-350532,radec gaincal,11:54:21.760,-35:05:29.400
252,J120533-263408,radec gaincal,12:05:33.070,-26:34:8.600
253,J121546-173146,radec gaincal,12:15:46.840,-17:31:46.200
