#,SRC,Cal Tag,RA,Dec
438,PKS1454-402,radec gaincal,14:54:32.91,-40:12:32.51
439,PKS1504-166,radec gaincal,15:07:04.79,-16:52:30.27
440,PKS1607-841,radec gaincal,16:19:33.97,-84:18:19.10
441,PKS1610-771,radec gaincal,16:17:49.28,-77:17:18.46
442,PKS1613-586,radec gaincal,16:17:17.9,-58:48:07.9
443,PKS1621-115,radec gaincal,16:23:59.52,-11:40:43.79
444,PKS1706+006,radec gaincal,17:08:44.65,+00:35:09.500
445,PKS1908-201,radec gaincal,19:11:09.654,-20:06:55.015
446,PKS1908-202,radec gaincal,19:11:09.6538,-20:06:55.015
447,PKS1934-638,radec gaincal,19:39:25.03,-63:42:45.63
448,PKS1947+079,radec gaincal,19:50:05.54,+08:07:13.981
449,PKS1954-388,radec gaincal,19:57:59.82,-38:45:06.36
450,PKS2008-068,radec gaincal,20:11:14.216,-06:44:03.555
451,PKS2032-350,radec gaincal,20:35:47.81,-34:54:08.925
452,PKS2107-105,radec gaincal,21:10:00.97,-10:20:57.32
454,PKS2117-61,radec gaincal,21:21:04.07,-61:11:24.62
455,PKS2128-123,radec gaincal,21:31:35.26,-12:07:04.79
456,PKS2135-209,radec gaincal,21:37:50.00,-20:42:31.75
457,PKS2155-152,radec gaincal,21:58:06.28,-15:01:09.32
458,PKS2203-188,radec gaincal,22:06:10.42,-18:35:38.75
459,PKS2232-488,radec gaincal,22:35:13.23,-48:35:58.79
460,PKS2258-7014,radec gaincal,22:58:31.56,-70:14:39.72
461,PKS2348-165,radec gaincal,23:48:02.61,-16:31:12.02
462,PKSB1903-802,radec gaincal,19:20:40.0,-80:10:05.9
463,PKSJ0010-4153,radec gaincal,00:10:52.52,-41:53:10.8
464,PKSJ0022+0014,radec gaincal,00:22:25.43,+00:14:56.2
465,PKSJ0024-4202,radec gaincal,00:22:25.43,-42:02:03.9
466,PKSJ0025-2602,radec gaincal,00:25:49.17,-26:02:12.7
467,PKSJ0042-4414,radec gaincal,00:42:09.44,-44:14:15.4
468,PKSJ0044-3530,radec gaincal,00:44:41.22,-35:30:41.5
469,PKSJ0059+0006,radec gaincal,00:59:05.51,+00:06:51.6
470,PKSJ0240-2309,radec gaincal,02:40:08.17,-23:09:15.7
471,PKSJ0252-7104,radec gaincal,02:52:46.15,-71:04:35.3
472,PKSJ0303-6211,radec gaincal,03:03:50.63,-62:11:25.6
473,PKSJ0309-6058,radec gaincal,03:09:56.10,-60:58:39.1
474,PKSJ0318+1628,radec gaincal,03:18:57.80,+16:28:32.7
475,PKSJ0323+0534,radec gaincal,03:23:20.31,+05:34:11.9
476,PKSJ0351-2744,radec gaincal,03:51:35.80,-27:44:33.0
477,PKSJ0405-1308,radec gaincal,04:05:34.00,-13:08:13.7
478,PKSJ0408-6544,radec gaincal,04:08:20.38,-65:45:09.6
479,PKSJ0409-1757,radec gaincal,04:09:06.70,-17:57:08.0
480,PKSJ0420-6223,radec gaincal,04:20:55.33,-62:23:39.7
481,PKSJ0423-0120,radec gaincal,04:23:15.80,-01:20:33.06
482,PKSJ0440-4333,radec gaincal,04:40:17.18,-43:33:08.6
483,PKSJ0442-0017,radec gaincal,04:42:38.66,-00:17:43.4
484,PKSJ0444-2809,radec gaincal,04:44:36.50,-28:09:44.0
485,PKSJ0453-2807,radec gaincal,04:53:14.65,-28:07:37.3
486,PKSJ0503+020,radec gaincal,05:03:21.19,02:03:04.68
487,PKSJ0519-4546,radec gaincal,05:19:49.69,-45:46:44.5
488,PKSJ0534+1927,radec gaincal,05:34:44.52,+19:27:21.4
489,PKSJ0538-4405,radec gaincal,05:38:50.36,-44:05:08.9
490,PKSJ0635-7516,radec gaincal,06:35:46.51,-75:16:16.8
491,PKSJ0744-0629,radec gaincal,07:44:21.66,-06:29:35.9
492,PKSJ0837-1951,radec gaincal,08:37:11.19,-19:51:55.9
493,PKSJ0943-0819,radec gaincal,09:43:36.86,-08:19:32.0
494,PKSJ1038-7003,radec gaincal,10:38:28.56,-70:03:08.9
495,PKSJ1130-1449,radec gaincal,11:30:07.05,-14:49:27.2
496,PKSJ1154-3505,radec gaincal,11:54:21.76,-35:05:29.4
497,PKSJ1248-1959,radec gaincal,12:48:23.98,-19:59:18.6
498,PKSJ1311-2216,radec gaincal,13:11:39.33,-22:16:41.70
499,PKSJ1313-333,radec gaincal,13:16:07.99,-33:38:59.17
500,PKSJ1330+2509,radec gaincal,13:30:37.69,+25:09:10.9
501,PKSJ1424-4913,radec gaincal,14:24:32.24,-49:13:49.7
502,PKSJ1510-0543,radec gaincal,15:10:53.59,-05:43:07.4
503,PKSJ1517-2422,radec gaincal,15:17:41.90,-24:22:19.5
504,PKSJ1557-7913,radec gaincal,15:56:58.87,-79:14:04.3
505,PKSJ1609+2641,radec gaincal,16:09:13.32,+26:41:29.0
506,PKSJ1733-1304,radec gaincal,17:33:02.71,-13:04:49.5
507,PKSJ1744-5144,radec gaincal,17:44:25.46,-51:44:43.8
508,PKSJ1819-6345,radec gaincal,18:19:35.00,-63:45:48.2
509,PKSJ1830-3602,radec gaincal,18:30:58.88,-36:02:30.1
510,PKSJ1833-2103,radec gaincal,18:33:39.91,-21:03:40.1
511,PKSJ1924-2914,radec gaincal,19:24:51.11,-29:14:31.0
512,PKSJ1935-4620,radec gaincal,19:35:56.50,-46:20:41.0
513,PKSJ1941-1524,radec gaincal,19:41:15.03,-15:24:31.3
514,PKSJ1958-5509,radec gaincal,19:58:28.90,-55:09:12.0
515,PKSJ2121-6404,radec gaincal,21:21:55.02,-64:04:29.76
516,PKSJ2129-1821,radec gaincal,21:29:21.42,-18:21:22.9
517,PKSJ2131-2036,radec gaincal,21:31:01.52,-20:36:56.1
518,PKSJ2137-2036,radec gaincal,21:37:50.04,-20:36:56.1
519,PKSJ2151-3027,radec gaincal,21:51:55.52,-30:27:53.6
520,PKSJ2152-2828,radec gaincal,21:52:03.83,-28:28:29.6
521,PKSJ2205-636,radec gaincal,22:08:47.24,-63:25:47.48
522,PKSJ2206-1835,radec gaincal,22:06:10.42,-18:35:38.7
523,PKSJ2219-2756,radec gaincal,22:19:42.40,-27:56:20.0
524,PKSJ2248-3235,radec gaincal,22:48:38.69,-32:35:52.2
525,PKSJ2316+040,radec gaincal,23:16:35.21,04:05:18.15
526,PKSJ2348-165,radec gaincal,23:48:02.61,-16:31:12.0
527,PKSJ2348-165,radec gaincal,23:48:02.61,-16:31:12.0
528,PKSJ2357-112,radec gaincal,23:57:31.19,-11:25:39.18
529,PKS0153-410,radec gaincal,01:55:37.06,-40:48:42.36
530,PKS0159-117,radec gaincal,02:01:57.16,-11:32:33.13
531,PKS0308-611,radec gaincal,03:09:56.09,-60:58:39.06
532,PKS0332-403,radec gaincal,03:34:13.65,-40:08:25.39
533,PKS0405-385,radec gaincal,04:06:59,-38:26:28
534,PKS0451-282,radec gaincal,04:53:14.65,-28:07:37.33
535,PKS0500+019,radec gaincal,05:03:21,+02:03:05
536,PKS0521-36,radec gaincal,05:22:58.01,-36:27:31.9
537,PKS0606-223,radec gaincal,06:08:59.69,-22:20:20.96
538,PKS0615-365,radec gaincal,06:17:32.32,-36:34:14.80
539,PKS0642-349,radec gaincal,06:44:25.28,-34:59:42.14
540,PKS0704-231,radec gaincal,07:06:33.4782,-23:11:37.530
541,PKS0742+103,radec gaincal,07:45:33.06,+10:11:12.69
542,PKS0834-196,radec gaincal,08:37:11.18,-19:51:56.81
543,PKS0922+005,radec gaincal,09:25:07.81,+00:19:13.93
544,PKS1039+029,radec gaincal,10:41:38.88,+02:42:30.816
545,PKS1103-208,radec gaincal,11:06:22.3200,-21:08:59.642
546,PKS1150-003,radec gaincal,11:50:43.87,-00:23:54.20
547,PKS1226+023,radec gaincal,12:29:06.69,+02:03:08.59
548,PKS1245-197,radec gaincal,12:48:23.90,-19:59:18.59
549,PKS1343-300,radec gaincal,13:45:51.51,-30:15:04.54
550,PKS1349-145,radec gaincal,13:51:53.00,-14:49:15
551,PKS1600-48,radec gaincal,16:03:50.69,-49:04:05.74
552,PKS1611+343,radec gaincal,16:13:41.06,+34:12:47.90
553,PKS1613-586,radec gaincal,16:17:17.88951,-58:48:07.8604
554,PKS1643-223,radec gaincal,16:46:05.0,-22:27:60
555,PKS1718-649,radec gaincal,17:23:41.03,-65:00:36.61
556,PKS1730-130,radec gaincal,17:33:02.705790,-13:04:49.548230
557,PKS1732+094,radec gaincal,17:34:58,+09:26:58
558,PKS1740-517,radec gaincal,17:44:25.45534,-51:44:43.7611
559,PKS1742-289,radec gaincal,17:45:40,-29:00:28
560,PKS1829-718,radec gaincal,18:35:37.204,-71:49:58.22
561,PKS1920-211,radec gaincal,19:23:32.189815,-21:04:33.333080
562,PKS1933-587,radec gaincal,19:37:32.37,-58:38:27.80
563,PKS1953-077|3C404,radec gaincal,19:56:11.0910,-07:36:54.567
564,PKS2107-105,radec gaincal,21:10:00.97,-10:20:57.32
565,PKS2215-508,radec gaincal,22:18:19.03,-50:38:41.73
566,PKS2223-052,radec gaincal,22:25:47.26,-04:57:01.39
567,PKS2226-411,radec gaincal,22:29:18.61,-40:51:31.59
568,PKS2243-123,radec gaincal,22:46:18.23,-12:06:51.28
569,PKS2326-477,radec gaincal,23:29:17.70,-47:30:19.11
570,PKSB0407-658,radec gaincal,04:08:20.38,-65:45:09.08
571,PKSJ0010-4153,radec gaincal,00:10:52.52,-41:53:10.8
572,PKSJ0025-260,radec gaincal,00:25:49.17,-26:02:12.70
573,PKSJ0042-4414,radec gaincal,00:42:09.44,-44:14:15.4
574,PKSJ0201-440,radec gaincal,02:03:40.76,-43:49:51.41
575,PKSJ0420-625,radec gaincal,04:20:55.33,-62:23:39.70
576,PKSJ0444-281,radec gaincal,04:44:36.50,-28:09:44.00
577,PKSJ0647-475,radec gaincal,06:48:48.45,-47:34:27.19
579,PKSJ0648-475,radec gaincal,06:48:48.45,-47:34:27.19
580,PKSJ0742-56,radec gaincal,07:43:20.48,-56:19:32.96
581,PKSJ1617-585,radec gaincal,16:17:17.89,-58:48:07.86
582,PKSJ1829-718,radec gaincal,18:35:37.20,-71:49:58.23
583,PKSJ1833-2103,radec gaincal,18:33:39.91,-21:03:40.1
584,PKSJ1924-292,radec gaincal,19:24:51.11,-29:14:31.00
585,PKSJ1939-6342,radec gaincal,19:39:25.03,-63:42:45.63
586,PKSJ2121-642,radec gaincal,21:21:55.02,-64:04:30.04
587,PKSJ2129-1821,radec gaincal,21:29:21.42,-18:21:22.9
588,PKSJ2131-2036,radec gaincal,21:31:01.52,-20:36:56.1
589,PKSJ2151-3027,radec gaincal,21:51:55.52,-30:27:53.6
590,PKSJ2152-2828,radec gaincal,21:52:03.83,-28:28:29.6
591,PKSJ2158-1501,radec gaincal,21:58:06.30,-15:01:09.1
592,PKSJ2206-1835,radec gaincal,22:06:10.42,-18:35:38.7
593,PKSJ2211-1328,radec gaincal,22:11:24.18,-13:28:10.1
594,PKSJ2219-2756,radec gaincal,22:19:42.40,-27:56:20.0
595,PKSJ2237-1145,radec gaincal,22:37:46.68,-11:45:43.7
596,PKSJ2258-2758,radec gaincal,22:58:05.95,-27:58:19.4
597,PMNJ1712-2809,radec gaincal,17:12:57.01,-28:09:33.6
