65,1717-00,3C353,0.03   ,17:20:28.1 ,-00:58:47  , G,,,1
66,1733-56,,0.1         ,17:37:35.80,-56:34:03.4, G,BLRG,FRII,4
67,1814-63,,0.06        ,18:19:34.96,-63:45:48.1, G,NLRG,CSS,2
68,1839-48,,0.11        ,18:43:14.64,-48:36:23.3, G,WLRG,FRI,1
69,1932-46,,0.23        ,19:35:56.56,-46:20:40.7, G,BLRG,FRII,2
70,1934-63,,0.18        ,19:39:24.99,-63:42:45.6, G,NLRG,CSS,2
71,1938-15,,0.45        ,19:41:15.15,-15:24:30.9, G,BLRG,FRII,4
72,1949+02,3C403,0.06  ,19:52:15.77,+02:30:23.1, G,NLRG,FRII,2
73,1954-38,,0.63        ,19:57:59.8 ,-38:45:06  , Q,,,5
74,1954-55,,0.06        ,19:58:16.06,-55:09:37.5, G,WLRG,FRI,1
75,2058-28,,0.04        ,21:01:37.7 ,-28:01:55  , G,,,1
76,2104-25,,0.04        ,21:07:25.3 ,-25:25:40  , G,,,1
77,2128-12,,0.5         ,21:31:35.2 ,-12:07:05  , Q,,,5
78,2135-14,,0.2         ,21:37:45.18,-14:32:55.5, Q,Q,FRII,5
79,2135-20,OX-258,0.64  ,21:37:50.00,-20:42:31.7, G,BLRG,CSS,4
80,2152-69,,0.03        ,21:57:06.0 ,-69:41:24  , G,,,4
81,2203-18,,0.62        ,22:06:10.4 ,-18:35:39  , Q,,,5
82,2211-17,3C444,0.15  ,22:14:25.76,-17:01:36.2, G,WLRG,FRII,1
83,2221-02,3C445,0.06  ,22:23:49.57,-02:06:12.4, G,BLRG,FRII,4
84,2243-12,OY-172.6,0.63,22:46:18.2 ,-12:06:51  , Q,,,5
85,2250-41,,0.31        ,22:53:03.16,-40:57:46.2, G,NLRG,FRII,2
86,2314+03,3C459,0.22   ,23:16:35.21,+04:05:18.2, G,NLRG,FRII,2
87,2345-16,,0.58        ,23:48:02.6 ,-16:31:12  , Q,,,2
88,2356-61,,0.1         ,23:59:04.50,-60:54:59.1, G,NLRG,FRII,2
