#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS,Xrayref
1522+155, MC3,, 0.628,Q,,,Xray quasar, , H
1524+101, 4C10.43,, 1.358,Q,,,Xray quasar, , z
1545+210, 3C323.1,, 0.264,Q,,,Xray quasar, 68, k
1548+114, 4C11.50,, 0.436,Q,,,Xray quasar, 67?, z
1555+001, 1555+001,, 1.770,Q,,,Xray quasar, , h
1555+332, GC1555+332,, 0.942,Q,,,Xray quasar, , z
1556+335, GC1556+335,, 1.650,Q,,,Xray quasar, , z
1606+289, 4C28.40,, 1.989,Q,,,Xray quasar, , H
1611+343, DA406,, 1.401,Q,,,Xray quasar, , h
1618+177, 3C334,, 0.555,Q,,,Xray quasar, 51?, k
1622+238, 3C336,, 0.927,Q,,,Xray quasar, 22, k
1623+269, 4C26.48,, 0.779,Q,,,Xray quasar, , H
1633+382, 4C38.41,, 1.814,Q,,,Xray quasar, , k
1635+119, MC2_1635+119,, 0.146,Q,,,Xray quasar, , z
1641+399, 3C345,, 0.595,Q,,,Xray quasar, , k
1704+608, 3C351,, 0.371,Q,,,Xray quasar, 58, z
1725+044, PKS1725+044,, 0.293,Q,,,Xray quasar, , k
1729+501, 4C50.43,, 1.107,Q,,,Xray quasar, , k
1730-130, NRAO530,, 0.908,Q,,,Xray quasar, , H
1739+522, 4C51.37,, 1.375,Q,,,Xray quasar, , h
1828+487, 3C380,, 0.692,Q,,,Xray quasar, , H
1921-293, 1921-293,, 0.352,Q,,,Xray quasar, , l
2037+511, 3C418,, 1.686,Q,,,Xray quasar, , k
2120+168, 3C432,, 1.805,Q,,,Xray quasar, 12, k
2121+053, OX036,, 1.878,Q,,,Xray quasar, , k
2126-158, PKS2126-158,, 3.270,Q,,,Xray quasar, , z -H
2131-021, PKS2131-021,, 0.560,Q,,,Xray quasar, , H
2135-147, PKS2135-147,, 0.200,Q,,,Xray quasar, 150, z
2141+175, OX169,, 0.213,Q,,,Xray quasar, , z
2143-156, PKS2143-156,, 2.055,Q,,,Xray quasar, , l
2201+315, 4C31.63,, 0.297,Q,,,Xray quasar, , h
