#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS
0356+101 ,3C98     ,,0.031,G,,,nilsson, 300.0
0358+00  ,3C99     ,,0.426,G,,,nilsson,   4.5
0404+03  ,3C105    ,,0.089,G,,,nilsson, 309.0
0404+429 ,3C103    ,,0.331,G,,,nilsson,  97.0
0409+229 ,4C22.08  ,,1.215,Q,,,nilsson,   5.0
0410+110 ,3C109    ,,0.306,G,,,nilsson,  96.0
0411+14  ,4C14.11  ,,0.206,G,,,nilsson,  88.0
0415+379 ,3C111    ,,0.049,G,,,nilsson, 275.0
0417+17  ,3C114    ,,0.815,G,,,nilsson,  52.0
0433+293 ,3C123    ,,0.218,G,,,nilsson,  23.0
0446-208 ,         ,,1.896,Q,,,nilsson,  51.0
0453+224 ,3C132    ,,0.214,G,,,nilsson,  23.0
0459+25  ,3C133    ,,0.278,G,,,nilsson,  11.8
0503-286 ,MSH05-22 ,,0.038,G,,,nilsson,2040.0
0511+00  ,3C135    ,,0.127,G,,,nilsson,  84.0
0512+249 ,3C136.1  ,,0.064,G,,,nilsson, 415.0
0518-45  ,PicA     ,,0.034,G,,,nilsson, 432.0
0534-201 ,         ,,0.995,Q,,,nilsson,  11.4
0553-205 ,         ,,1.544,Q,,,nilsson,   5.0
0557-168 ,         ,,1.240,Q,,,nilsson,  21.0
0605+48  ,3C153    ,,0.277,G,,,nilsson,   6.5
0610+26  ,3C154    ,,0.580,Q,,,nilsson,  50.0
0618-37  ,         ,,0.032,G,,,nilsson,  90.0
0634-20  ,         ,,0.056,G,,,nilsson, 920.0
0640+23  ,3C165    ,,0.296,G,,,nilsson,  87.0
0642+214 ,3C166    ,,0.245,G,,,nilsson,  45.0
0659+253 ,3C172    ,,0.520,G,,,nilsson, 122.0
0702+74  ,3C173.1  ,,0.292,G,,,nilsson,  60.0
0704+384 ,4C38.20  ,,0.579,Q,,,nilsson,  20.6
0708+32  ,         ,,0.067,G,,,nilsson,   8.0
0710+118 ,3C175    ,,0.768,Q,,,nilsson,  48.0
0712+534 ,4C53.16  ,,0.064,G,,,nilsson,  31.0
0719+670 ,4C67.13  ,,0.131,G,,,nilsson,  31.0
0722+30  ,         ,,0.019,G,,,nilsson,  29.0
0723+679 ,3C179    ,,0.846,Q,,,nilsson,  15.0
0725+147 ,3C181    ,,1.382,Q,,,nilsson,   5.9
0726+431 ,4C43.14  ,,1.072,Q,,,nilsson,  19.2
0730+257 ,4C25.21  ,,2.686,Q,,,nilsson,   7.2
0730+659 ,         ,,1.937,Q,,,nilsson,  20.0
0731+653 ,         ,,3.035,Q,,,nilsson,  31.0
0733+705 ,3C184    ,,0.994,G,,,nilsson,   4.4
0734+803 ,3C184.1  ,,0.118,G,,,nilsson, 179.0
0736-019 ,3C185    ,,1.033,Q,,,nilsson,   8.5
0738+336 ,         ,,0.364,G,,,nilsson, 124.0
0740+380 ,3C186    ,,1.063,Q,,,nilsson,   1.6
0742+02  ,3C187    ,,0.350,G,,,nilsson, 128.0
0742+318 ,4C31.30  ,,0.462,Q,,,nilsson, 115.0
0744+559 ,DA240    ,,0.036,G,,,nilsson,2040.0
0745+521 ,         ,,0.063,G,,,nilsson, 101.0
0752+258 ,OI287    ,,0.446,Q,,,nilsson,  14.0
0755+379 ,4C37.21  ,,0.041,G,,,nilsson, 138.0
0758+120 ,         ,,2.660,Q,,,nilsson,  10.0
0758+143 ,3C190    ,,1.195,Q,,,nilsson,   4.0
0759+341 ,         ,,2.440,Q,,,nilsson,  14.0
0802+103 ,3C191    ,,1.956,Q,,,nilsson,   4.5
0802+241 ,3C192    ,,0.060,G,,,nilsson, 190.0
0805+578 ,4C57.15  ,,0.438,Q,,,nilsson,  26.0
0806+42  ,3C194    ,,1.184,G,,,nilsson,  14.2
0808+289 ,         ,,1.910,Q,,,nilsson,  60.0
0809+483 ,3C196    ,,0.871,Q,,,nilsson,   5.0
0810+327 ,         ,,0.842,Q,,,nilsson,  26.0
0811+388 ,4C38.23  ,,0.132,G,,,nilsson,  29.0
0814+227 ,4C22.20  ,,0.980,Q,,,nilsson,  22.0
0818+472 ,3C197.1  ,,0.130,G,,,nilsson,  14.0
0819-30  ,         ,,0.086,G,,,nilsson, 246.0
0819+061 ,3C198    ,,0.082,G,,,nilsson, 198.0
0821+447 ,4C44.17  ,,0.904,Q,,,nilsson,  26.0
0821+621 ,4CP62.12B,,0.542,Q,,,nilsson,  45.0
0822+34A ,4C34.28A ,,0.406,G,,,nilsson,  18.0
0823+37  ,4C38.25  ,,0.207,G,,,nilsson,  42.0
0824+29  ,3C200    ,,0.458,G,,,nilsson,  24.0
0827+193 ,4C19.30  ,,0.658,Q,,,nilsson,  24.0
0828+324 ,4C32.25  ,,0.051,G,,,nilsson, 320.0
0831+101 ,         ,,1.760,Q,,,nilsson,  29.0
0831+557 ,         ,,0.241,G,,,nilsson,  12.0
0833+654 ,3C204    ,,1.112,Q,,,nilsson,  36.0
0835+580 ,3C205    ,,1.534,Q,,,nilsson,  16.0
0836+195 ,4C19.31  ,,1.691,Q,,,nilsson,  31.2
0836+290 ,         ,,0.079,G,,,nilsson, 345.0
0836+299 ,4C29.30  ,,0.065,G,,,nilsson,  64.0
0837-120 ,3C206    ,,0.198,Q,,,nilsson, 169.0
0838+133 ,3C207    ,,0.684,Q,,,nilsson,   8.4
0838+325 ,4C32.26  ,,0.068,G,,,nilsson,   9.5
0839+616 ,4C61.19  ,,0.862,Q,,,nilsson,  26.0
0844+31  ,4C31.32  ,,0.068,G,,,nilsson, 270.0
0846+100 ,4C09.31  ,,0.366,Q,,,nilsson,  54.0
0847+37  ,4C37.25  ,,0.407,G,,,nilsson,  33.0
0850+140 ,3C208    ,,1.110,Q,,,nilsson,  11.0
0850+581 ,4C58.17  ,,1.322,Q,,,nilsson,  15.2
0854+39A ,         ,,0.528,G,,,nilsson, 164.0
0855+143 ,3C212    ,,1.048,Q,,,nilsson,   9.0
0855+28  ,3C210    ,,1.169,G,,,nilsson,  18.0
0856+170 ,4C17.46  ,,1.449,Q,,,nilsson,  10.3
0857+39  ,         ,,0.229,G,,,nilsson,  24.0
0901+285 ,         ,,1.121,Q,,,nilsson,  25.0
0901+474 ,         ,,0.170,G,,,nilsson,   9.0
0903+169 ,3C215    ,,0.411,Q,,,nilsson,  43.0
0905+38  ,3C217    ,,0.898,G,,,nilsson,  11.0
0906+546 ,4C54.18  ,,0.625,Q,,,nilsson,  49.0
0908+376 ,         ,,0.104,G,,,nilsson,  39.0
0913-025 ,4C-02.38 ,,1.203,Q,,,nilsson,  16.4
0917+449 ,         ,,2.180,Q,,,nilsson,  19.0
0917+455 ,3C219    ,,0.174,G,,,nilsson, 160.0
0922+149 ,4C14.31  ,,0.896,Q,,,nilsson,  41.1
0923+392 ,4C39.25  ,,0.699,Q,,,nilsson,   4.0
0924+30  ,IC2476   ,,0.027,G,,,nilsson, 720.0
0926+117 ,4C11.32  ,,1.754,Q,,,nilsson,   7.0
0926+79  ,3C220.1  ,,0.610,G,,,nilsson,  26.0
0927+362 ,3C220.2  ,,1.157,Q,,,nilsson,   8.0
0928+312 ,         ,,1.310,Q,,,nilsson,  21.0
0931+836 ,3C220.3  ,,0.680,G,,,nilsson,   7.4
0932+022 ,4C02.27  ,,0.659,Q,,,nilsson,  44.8
0936+361 ,3C223    ,,0.137,G,,,nilsson, 290.0
0937+391 ,4C39.27  ,,0.618,Q,,,nilsson,  52.0
0938+119 ,         ,,3.190,Q,,,nilsson,   7.0
0938+399 ,3C223.1  ,,0.108,G,,,nilsson, 117.0
0939+139 ,3C225.0  ,,0.580,G,,,nilsson,   4.9
0941+100 ,3C226    ,,0.823,G,,,nilsson,  35.0
0945+07  ,3C227    ,,0.086,G,,,nilsson, 215.0
0945+73  ,4C73.08  ,,0.058,G,,,nilsson, 780.0
0947+14  ,3C228    ,,0.552,G,,,nilsson,  45.0
0952+097 ,4C09.35  ,,0.298,Q,,,nilsson,  12.5
0952+357 ,4C35.21  ,,1.241,Q,,,nilsson,  18.0
0957+003 ,4C00.34  ,,0.907,Q,,,nilsson,  31.4
0958+290 ,3C234    ,,0.185,G,,,nilsson, 110.0
1001+226 ,4C22.26  ,,0.974,Q,,,nilsson,  67.0
1003+26  ,         ,,0.117,G,,,nilsson,   6.0
1003+351 ,3C236    ,,0.099,G,,,nilsson,2400.0
1004+130 ,4C13.41  ,,0.241,Q,,,nilsson, 115.0
1005+077 ,3C237    ,,0.877,G,,,nilsson,   1.4
1005+282 ,         ,,0.148,G,,,nilsson, 240.0
1007+417 ,4C41.21  ,,0.611,Q,,,nilsson,  32.0
1008+46  ,3C239    ,,1.781,G,,,nilsson,  11.2
1011+280 ,4C28.25  ,,0.899,Q,,,nilsson,  14.0
1012+022 ,4C02.30  ,,1.374,Q,,,nilsson,   8.4
1012+488 ,4C48.28  ,,0.385,Q,,,nilsson, 109.0
1014+397 ,4C39.30  ,,0.106,G,,,nilsson, 137.0
1015+277 ,4C27.21  ,,0.469,Q,,,nilsson,  21.0
1017+487 ,4C48.29A ,,0.053,G,,,nilsson, 306.0
1019+222 ,3C241    ,,1.617,G,,,nilsson,   0.9
1019+39B ,4C39.31  ,,0.921,G,,,nilsson,   7.0
1022+194 ,4C19.34  ,,0.828,Q,,,nilsson,  11.5
1023+067 ,3C243    ,,1.699,Q,,,nilsson,  13.0
1030+581 ,3C244.1  ,,0.428,G,,,nilsson,  53.0
1038+528 ,         ,,0.677,Q,,,nilsson,  37.0
1040+123 ,3C245    ,,1.029,Q,,,nilsson,   7.1
1046+053 ,4C05.46  ,,1.115,Q,,,nilsson,   8.8
1047+096 ,4C09.37  ,,0.786,Q,,,nilsson,  21.1
1048-090 ,3C246    ,,0.344,Q,,,nilsson,  83.0
1048+240 ,4C24.23  ,,1.274,Q,,,nilsson,  15.0
1049+616 ,4C61.20  ,,0.422,Q,,,nilsson,   2.5
1056+431 ,3C247    ,,0.749,G,,,nilsson,  13.0
1058+110 ,4C10.30  ,,0.423,Q,,,nilsson,  31.0
1100+772 ,3C249.1  ,,0.311,Q,,,nilsson,  21.0
1102+30  ,         ,,0.072,G,,,nilsson, 170.0
1103-006 ,4C-00.43 ,,0.426,Q,,,nilsson,  21.0
1104+167 ,4C16.30  ,,0.634,Q,,,nilsson,  40.0
1107+036 ,         ,,0.963,Q,,,nilsson,  63.0
1107+379 ,4C37.29  ,,0.346,G,,,nilsson,  82.0
1108+35  ,3C252    ,,1.105,G,,,nilsson,  60.0
1109+437 ,4C43.21  ,,1.680,Q,,,nilsson,  53.0
1111+408 ,3C254    ,,0.734,Q,,,nilsson,  13.2
1113+295 ,4C29.41  ,,0.049,G,,,nilsson,  78.0
1118+128 ,4C12.40  ,,0.685,Q,,,nilsson,  21.7
1130+106 ,4C10.33  ,,0.540,Q,,,nilsson,   3.1
1130+34  ,4C34.35  ,,0.512,G,,,nilsson,  78.0
1136-135 ,         ,,0.557,Q,,,nilsson,  15.8
1137+660 ,3C263    ,,0.646,Q,,,nilsson,  44.2
1140+22  ,3C263.1  ,,0.366,G,,,nilsson,   5.8
1141+374 ,4C37.32  ,,0.115,G,,,nilsson, 270.0
1141+466 ,4C46.23  ,,0.162,G,,,nilsson,   8.2
1142+318 ,3C265    ,,0.811,G,,,nilsson,  78.0
1143+500 ,3C266    ,,1.275,G,,,nilsson,   4.3
1146-11  ,         ,,0.117,G,,,nilsson, 192.0
1146+111 ,         ,,0.863,Q,,,nilsson,  16.4
1147+130 ,3C267    ,,1.140,G,,,nilsson,  38.0
1148+36A ,4C36.19  ,,0.141,G,,,nilsson,  27.0
1148+387 ,4C38.31  ,,1.303,Q,,,nilsson,   7.8
1148+477 ,4C47.33  ,,0.867,Q,,,nilsson,  20.0
1150+497 ,4C49.22  ,,0.334,Q,,,nilsson,  16.0
1151+295 ,4C29.44  ,,0.329,G,,,nilsson,  22.0
1151+456 ,4C45.23  ,,0.192,G,,,nilsson,  62.0
1152+659 ,4C65.13  ,,1.199,Q,,,nilsson,  57.0
1156+631 ,4C63.15  ,,0.594,Q,,,nilsson,  58.0
1157+118 ,         ,,0.731,Q,,,nilsson,  24.9
1157+73  ,3C268.1  ,,0.970,G,,,nilsson,  46.0
1158+318 ,3C268.2  ,,0.362,G,,,nilsson,  93.0
1159-036 ,         ,,1.102,Q,,,nilsson,  41.0
1203+645 ,3C268.3  ,,0.371,G,,,nilsson,   1.3
1204+34  ,         ,,0.079,G,,,nilsson,  62.0
1205+392 ,4C39.35  ,,0.243,G,,,nilsson,  24.0
1206+439 ,3C268.4  ,,1.400,Q,,,nilsson,   9.8
1207+38  ,         ,,0.790,G,,,nilsson,  27.0
1208+322 ,         ,,0.388,Q,,,nilsson,  82.0
1209+74  ,4C74.17.1,,0.107,G,,,nilsson, 480.0
1213+422 ,4C42.34  ,,0.120,G,,,nilsson, 303.0
1213+538 ,4C53.24  ,,1.065,Q,,,nilsson,  33.0
1214+106 ,         ,,1.884,Q,,,nilsson,  27.0
1214+348 ,         ,,2.647,Q,,,nilsson,   7.4
1215+643 ,4C64.15  ,,1.288,Q,,,nilsson,   9.5
1216+060 ,3C270    ,,0.007,G,,,nilsson, 498.0
1217+023 ,         ,,0.240,Q,,,nilsson, 110.0
1218+339 ,3C270.1  ,,1.519,Q,,,nilsson,  12.0
1220+373 ,         ,,0.489,Q,,,nilsson,  36.0
1221+186 ,4C18.34  ,,1.401,Q,,,nilsson,  23.0
1221+42  ,3C272    ,,0.944,G,,,nilsson,  59.0
1222+216 ,4C21.35  ,,0.435,Q,,,nilsson,  16.8
1223+252 ,4C25.40  ,,0.268,Q,,,nilsson,  67.0
1225+26  ,         ,,0.064,G,,,nilsson,  63.0
1226+105 ,         ,,2.296,Q,,,nilsson,   5.8
1227+08  ,N4472    ,,0.003,G,,,nilsson, 150.0
1229-021 ,4C-02.55 ,,1.038,Q,,,nilsson,  18.0
1232-249 ,         ,,0.355,Q,,,nilsson,  86.0
1232+21  ,3C274.1  ,,0.422,G,,,nilsson, 150.0
1233+108 ,         ,,0.665,Q,,,nilsson, 101.0
1241+166 ,3C275.1  ,,0.557,Q,,,nilsson,  14.0
1244+324 ,4C32.41  ,,0.949,Q,,,nilsson,  24.0
1245+189 ,         ,,0.723,Q,,,nilsson,   8.7
1247+450 ,4C45.26  ,,0.799,Q,,,nilsson,  18.0
1248+305 ,4C30.25  ,,1.061,Q,,,nilsson,  29.0
1249+50  ,3C277    ,,0.414,G,,,nilsson, 139.0
1250+568 ,3C277.1  ,,0.321,Q,,,nilsson,   1.5
1251+159 ,3C277.2  ,,0.766,G,,,nilsson,  55.0
1251+27  ,3C277.3  ,,0.086,G,,,nilsson,  32.0
1253+104 ,         ,,0.824,Q,,,nilsson,  23.8
1254+47  ,3C280    ,,0.996,G,,,nilsson,  12.9
1258+404 ,3C280.1  ,,1.659,Q,,,nilsson,  19.8
1301+382 ,4C38.35  ,,0.470,G,,,nilsson,  28.0
1308+182 ,4C18.36  ,,1.677,Q,,,nilsson,  10.3
1308+27  ,3C284    ,,0.239,G,,,nilsson, 180.0
1311-270 ,         ,,2.195,Q,,,nilsson,  19.0
1317+520 ,4C52.27  ,,1.060,Q,,,nilsson,  29.3
1318+113 ,4C11.45  ,,2.171,Q,,,nilsson,   5.8
1319+425 ,3C285    ,,0.079,G,,,nilsson, 134.0
1319+647 ,4C68.14  ,,0.230,G,,,nilsson,  74.0
1322+366 ,4C36.24  ,,0.018,G,,,nilsson,  53.0
1323+655 ,4C65.15  ,,1.618,Q,,,nilsson,   7.8
1330+022 ,         ,,0.216,G,,,nilsson, 117.0
1331-09  ,         ,,0.081,G,,,nilsson, 774.0
1332+552 ,4C55.27  ,,1.249,Q,,,nilsson,  76.0
1333-33  ,IC4296   ,,0.012,G,,,nilsson,2100.0
1333+412 ,4C41.26  ,,0.189,G,,,nilsson,  12.0
1335-061 ,4C-06.35 ,,0.625,Q,,,nilsson,  11.1
1340+606 ,3C288.1  ,,0.961,Q,,,nilsson,   6.7
1343+500 ,3C289    ,,0.967,G,,,nilsson,  10.0
1345+584 ,4C58.27  ,,2.039,Q,,,nilsson,  13.0
1347+28  ,         ,,0.072,G,,,nilsson,  54.0
1349+647 ,3C292    ,,0.710,G,,,nilsson, 133.0
1350+31  ,3C293    ,,0.045,G,,,nilsson, 216.0
