#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS
1622+238 ,3C336    ,,0.927,Q,,,nilsson,  21.7
1623+173 ,         ,,0.552,Q,,,nilsson,  32.0
1626+277 ,3C341    ,,0.448,G,,,nilsson,  82.0
1627+23  ,3C340    ,,0.775,G,,,nilsson,  47.0
1627+44  ,3C337    ,,0.635,G,,,nilsson,  43.0
1628+363 ,4C36.28  ,,1.254,Q,,,nilsson,  16.2
1634+176 ,         ,,1.897,Q,,,nilsson,   6.8
1634+269 ,3C342    ,,0.561,Q,,,nilsson,  39.0
1637+626 ,3C343.1  ,,0.750,G,,,nilsson,   0.4
1637+826 ,N6251    ,,0.023,G,,,nilsson,3070.0
1638+398 ,         ,,1.660,Q,,,nilsson,   8.0
1642+690 ,4C69.21  ,,0.751,Q,,,nilsson,  10.0
1643+27  ,         ,,0.102,G,,,nilsson, 145.0
1648+05  ,3C348    ,,0.154,G,,,nilsson, 115.0
1658+302 ,4C30.31  ,,0.035,G,,,nilsson, 144.0
1658+470 ,3C349    ,,0.205,G,,,nilsson,  82.0
1658+575 ,4C57.29  ,,2.173,Q,,,nilsson,   5.4
1700+180 ,4C17.73  ,,1.424,Q,,,nilsson,   9.6
1704+608 ,3C351    ,,0.371,Q,,,nilsson,  58.0
1707+344 ,4C34.45  ,,0.080,G,,,nilsson,  48.0
1709+46  ,3C352    ,,0.806,G,,,nilsson,  10.0
1713+641 ,         ,,0.078,G,,,nilsson,  26.0
1717-00  ,3C353    ,,0.030,G,,,nilsson, 230.0
1721+343 ,4C34.47  ,,0.206,Q,,,nilsson, 440.0
1723+510 ,3C356    ,,1.079,G,,,nilsson,  75.0
1726+318 ,3C357    ,,0.167,G,,,nilsson, 107.0
1732+160 ,4C16.49  ,,1.880,Q,,,nilsson,  15.2
1732+655 ,4C65.21  ,,0.856,Q,,,nilsson,  22.0
1736+32  ,         ,,0.074,G,,,nilsson,  44.0
1739+184 ,4C18.51  ,,0.186,Q,,,nilsson, 212.0
1741+279 ,4C27.38  ,,0.372,Q,,,nilsson,   9.2
1802+110 ,3C368    ,,1.132,G,,,nilsson,   7.9
1807+279 ,4C27.41  ,,1.760,Q,,,nilsson,   8.5
1816+475 ,4C47.48  ,,2.225,Q,,,nilsson,   6.3
1819+228 ,4C22.47  ,,0.628,Q,,,nilsson,  22.0
1825+741 ,3C379.1  ,,0.256,G,,,nilsson,  76.0
1827+32  ,         ,,0.066,G,,,nilsson, 440.0
1827+387 ,         ,,1.080,Q,,,nilsson,   2.3
1828+487 ,3C380    ,,0.692,Q,,,nilsson,   7.5
1830+285 ,4C28.45  ,,0.594,Q,,,nilsson,  28.2
1832+427 ,3C381    ,,0.161,G,,,nilsson,  69.0
1833+32  ,3C382    ,,0.058,G,,,nilsson, 170.0
1842+453 ,3C388    ,,0.091,G,,,nilsson,  31.0
1845+794 ,3C390.3  ,,0.056,G,,,nilsson, 213.0
1857+566 ,4C56.28  ,,1.595,Q,,,nilsson,  30.0
1924+507 ,4C50.47  ,,1.098,Q,,,nilsson,  18.0
1928+738 ,4C73.18  ,,0.302,Q,,,nilsson,  40.0
1939+60  ,3C401    ,,0.201,G,,,nilsson,  19.0
1949+02  ,3C403    ,,0.059,G,,,nilsson,  97.0
1951+498 ,         ,,0.466,Q,,,nilsson,  13.0
1954+513 ,         ,,1.220,Q,,,nilsson,  18.0
1957+403 ,3C405    ,,0.057,G,,,nilsson, 122.0
2005-044 ,3C407    ,,0.589,Q,,,nilsson,  20.0
2019+098 ,3C411    ,,0.467,G,,,nilsson,  31.8
2025-218 ,         ,,2.630,G,,,nilsson,   4.0
2025+117 ,         ,,1.920,Q,,,nilsson,   9.0
2028-293 ,         ,,0.503,G,,,nilsson,   4.9
2040-26  ,         ,,0.039,G,,,nilsson, 186.0
2058-13  ,         ,,0.030,G,,,nilsson, 288.0
2104-242 ,         ,,2.491,G,,,nilsson,  21.6
2104+76  ,3C427.1  ,,0.572,G,,,nilsson,  23.1
2112+172 ,4C17.86  ,,0.878,Q,,,nilsson,   6.0
2117+603 ,3C430    ,,0.054,G,,,nilsson,  85.0
2120+15  ,3C434    ,,0.322,G,,,nilsson,  12.0
2120+168 ,3C432    ,,1.805,Q,,,nilsson,  13.4
2126+073A,3C435A   ,,0.461,G,,,nilsson,  14.0
2126+073B,3C435B   ,,0.865,G,,,nilsson,  46.0
2131+175 ,4C17.87  ,,1.215,Q,,,nilsson,  32.4
2135-147 ,         ,,0.200,Q,,,nilsson, 150.0
2141+279 ,3C436    ,,0.215,G,,,nilsson, 104.0
2145+15  ,3C437    ,,1.480,G,,,nilsson,  36.0
2146-133 ,         ,,1.800,Q,,,nilsson,   3.7
2150+053 ,4C05.81  ,,1.979,Q,,,nilsson,  17.0
2153+37  ,3C438    ,,0.290,G,,,nilsson,  19.0
2158+101 ,4C10.67  ,,1.725,Q,,,nilsson,   1.2
2201+315 ,4C31.63  ,,0.297,Q,,,nilsson,  80.0
2203+292 ,3C441    ,,0.708,G,,,nilsson,  32.6
2209+080 ,4C08.64  ,,0.484,Q,,,nilsson,  10.5
2209+152 ,         ,,1.502,Q,,,nilsson,  15.0
2211-17  ,3C444    ,,0.153,G,,,nilsson,  83.0
2222+051 ,4C05.84  ,,2.323,Q,,,nilsson,   3.0
2223+210 ,         ,,1.959,Q,,,nilsson,   5.5
2226-224 ,         ,,0.280,G,,,nilsson,  10.6
2230+114 ,4C11.69  ,,1.037,Q,,,nilsson,   2.4
2236+35  ,         ,,0.028,G,,,nilsson,  47.0
2243+392 ,3C452    ,,0.081,G,,,nilsson, 250.0
2244+366 ,4C36.47  ,,0.082,G,,,nilsson,  17.0
2247-248 ,         ,,1.634,G,,,nilsson,  13.2
2248+192 ,4C19.74  ,,1.806,Q,,,nilsson,   6.0
2249+185 ,3C454    ,,1.757,Q,,,nilsson,   1.0
2251+113 ,4C11.72  ,,0.323,Q,,,nilsson,   9.8
2251+134 ,4C13.85  ,,0.673,Q,,,nilsson,   6.7
2252+129 ,3C455    ,,0.543,Q,,,nilsson,   3.2
2303-052 ,4C-05.95 ,,1.139,Q,,,nilsson,  10.0
2303-253 ,         ,,0.740,G,,,nilsson,  18.8
2303+391 ,4C39.72  ,,0.206,G,,,nilsson, 170.0
2308+098 ,4C09.72  ,,0.432,Q,,,nilsson,  82.0
2309+184 ,3C457    ,,0.428,G,,,nilsson, 190.0
2310+05  ,3C458    ,,0.290,G,,,nilsson, 161.0
2314-116 ,         ,,0.549,Q,,,nilsson,  37.0
2314+038 ,3C459    ,,0.220,G,,,nilsson,   8.2
2318+23  ,3C460    ,,0.268,G,,,nilsson,   7.2
2322+110 ,         ,,1.965,Q,,,nilsson,   6.0
2322+27  ,4C27.51  ,,0.319,G,,,nilsson, 104.0
2325+269 ,4C27.52  ,,0.875,Q,,,nilsson,   7.4
2325+293 ,4C29.68  ,,1.015,Q,,,nilsson,  51.0
2332+489 ,         ,,1.534,Q,,,nilsson,  39.0
2333+019 ,         ,,1.871,Q,,,nilsson,  30.0
2338+042 ,4C04.81  ,,2.594,Q,,,nilsson,   2.7
2345+18  ,3C467    ,,0.632,G,,,nilsson,  32.0
2347+30  ,         ,,0.390,G,,,nilsson,  36.0
2349+327 ,4C32.69  ,,0.659,Q,,,nilsson,  66.0
2352+796 ,3C469.1  ,,1.336,G,,,nilsson,  74.0
2353+283 ,4C28.59  ,,0.731,Q,,,nilsson,   9.7
2354+144 ,4C14.85  ,,1.810,Q,,,nilsson,  11.0
2354+471 ,4C47.63  ,,0.046,G,,,nilsson, 258.0
2356+438 ,3C470    ,,1.653,G,,,nilsson,  24.0
