# ID                                | Gal l  Gal b  | RA(J2000)      dec(J2000) unc[arcsec] source            | redshift| NED Object type ~ 1400MHz fluz IRAS/X-ray    pnt  comment
3C 273  PKS 1226+02                 | 289.95  64.36 | 12:29:06.70  +02:03:08.6   mas        VLBI 2.3/8.4 GHz  | z=0.16  | Sy 1.0 ULIRG blazar,    45 Jy     I, X, Gam  ok   compact core and jet of ~25", circ pol
Virgo A  3C 274  M87  PKS 1228+12   | 283.78  74.49 | 12:30:49.42  +12:23:28.0   mas        VLBI 2.3/8.4 GHz  | v=1307  | Sy LINER FRI, cD;      220 Jy     I, X       ok   < ~1', core dominated
3C 279  PKS 1253-05                 | 305.10  57.06 | 12:56:11.17  -05:47:21.5   mas        VLBI 2.3/8.4 GHz  | z=0.54  | blazar;                 10 Jy     I, X, Gam  ok   <20", BLLAC, OVV
Centaurus A  PKS 1322-42  NGC 5128  | 309.52  19.42 | 13:25:27.62  -43:01:08.8   mas        VLBI 2.3/8.4 GHz  | v= 547  | S0 pec, Sy2;             4 Jy     I, X, Gam  no   core ~ 10", lobes ~ 9deg
3C 286                              |  56.52  80.67 | 13:31:08.29  +30:30:33.0   mas        VLBI 2.3/8.4 GHz  | z=0.85  | DLAS, Sy 1.5 core-dom;  15 Jy     X          ok   <~5", primary flux calib (no variab)
PKS 1343-601  Cen B                 | 309.72   1.73 | 13:46:49.04  -60:24:29.4   mas        VLBI              | v=3872  | cD;                     79 Jy                no   ~10', one-sided
3C 295                              |  97.51  60.80 | 14 11 20.46  +52 12 09.5   1.25x1.25  2Mass             | z=0.46  | E/S0, NLRG, FRII;       22 Jy     X          ok   ~10", ext double lobe, no core; no flux var: prim flux calib
3C 309.1                            | 109.98  42.10 | 14:59:07.58  +71:40:19.9   mas        VLBI 2.3/8.4 GHz  | z=0.91  | Sy 1.5, core-dom;        8 Jy     X          ok   <10"
PKS 1610-60  ESO 137-G006           | 325.29  -7.21 | 16:15:03.85  -60:54:26.1   1.25x1.25  2Mass             | v=5480  | cD;                     43 Jy                no   ~8', strong inner lobes; in A3627
PKS 1630-47  CTB 33                 | 336.83   0.04 | 16:34:36.4   -47:35:56    50x50       PKS90             |         | --;                     87 Jy                ??   
PKS 1636-46                         | 337.97  -0.11 | 16:39:48.5   -46:51:01    50x50       PKS90             |         | HII;                    53 Jy                no   prob ext'd
Hercules A  3C 348  PKS 1648+05     |  23.05  28.95 | 16 51 08.02  +04 59 34.9   1.25x1.25  2Mass             | z=0.15  | i.a. E/S0 pair, NLRG;   48 Jy     X          no   ~5', FRI/FRII
3C 353  PKS 1717-00                 |  21.20  19.65 | 17:20:28.15  -00:58:46.8   1.25x1.25  2Mass             | v=9120  | S0 NLRG;                56 Jy                no   ~5', FRII
3C 358  PKS 1727-21                 |   4.53   6.83 | 17:30:40.82  -21:29:11.4  10.5x10.0   Molonglo 408 MHz  |         | PN, SNR (Kepler), HII;  14 Jy     I, X       ok?  ~3' @ 160MHz, centralized?;
PKS 1737-30                         |  57.66  -0.09 | 17:40:16.36  -30:58:18.9   2.2x1.3    Texas Int 365 MHz |         | asymm double            35 Jy                no   ~6' @ 160MHz
Sagittarius A*  CTB 42              | 359.94  -0.04 | 17:45:40.03  -29:00:28.1   mas        VLA high-fr       |         | MBH;                    ?? Jy     X, Gam     no   
PKS 1814-63                         | 330.85 -20.76 | 18:19:35.00  -63:45:48.2   mas        VLBI 2.3/8.4 GHz  | z=0.06  | Sy 2;                   12 Jy                ok   CSS with double lobes
PKS 1821-12                         |  18.71   0.32 | 18:23:55.7   -12:28:38    50x50       PKS90             |         | --;                     15 Jy                ??   
3C 380                              |  77.23  23.50 | 18:29:31.78  +48:44:46.2   mas        VLBI 2.3/8.4 GHz  | z=0.69  | Sy1.5, core-dom;        14 Jy     X          ok   <15", FRII
PKS 1844-02  W 43                   |  30.64  -0.01 | 18:47:18.1   -02:02:40    50x50       PKS90             |         | SNR                    330 Jy                no   prob ext'd
3C 391  PKS 1846-00                 |  31.88   0.05 | 18:49:22.7   -00:55:19    22.8x17.1   NRAO 1400 MHz     |         | HII;                    20 Jy                no   prob ext'd
3C 396                              |  39.22  -0.31 | 19:04:06.3   +05:26:26    22.8x17     NRAO 1400 MHz     |         | HII;                    13 Jy                no   prob ext'd
PKS J1924-2914                      |   9.34 -19.60 | 19:24:51.06  -29:14:30.1   mas        VLBI 2.3/8.4 GHz  | z=0.35  | QSO, BLLAC;              6 Jy     X          ok   compact, pol, OVV
PKS 1934-63                         | 332.75 -29.39 | 19:39:25.03  -63:42:45.7   mas        VLBI 2.3/8.4 GHz  | z=0.18  | Sy2;                    16 Jy                ok   compact; GPS src
Cygnus A  3C 405                    |  76.19   5.76 | 19:59:28.36  +40:44:02.1   mas        VLBI              | z=0.06  | Sy 2;                 1590 Jy     I, X       ok   ~3'; double radio src, cD, FRII
3C 409  PKS 2012+23                 |  63.40  -6.12 | 20:14:27.60  +23:34:52.9   0.7x0.4    Texas Int 365 MHz |         | --;                     14 Jy                ok   ~3'
Cygnus X  TXS 2037+421              |  81.68   0.53 | 20:39:01.30  +42:19:36.5   7.5x7.5    VLA 1400MHz       |         | HII;                   ~19 Jy                no   ext'd 327 MHz src: probably Galactic
NGC 7027                            |  84.93  -3.50 | 21 07 02.67  +42 14 09.8   1.25x1.25  2Mass             |         | PN;                      1.3 Jy              ok   opt size < 0.5'; no flux var -> flux calib
NGC 7018  PKS 2104-25               |  21.47 -40.18 | 21:07:20.66  -25:26:12.3  10.1x10     Molonglo 408 MHz  | z=0.04  | E pec;                  11 Jy                ok   <2', core & lobes?
3C 433                              |  74.48 -17.69 | 21:23:44.53  +25:04:11.9   0.8x0.7    Texas Int 365 MHz | z=0.10  | Sy2 NLRG FRI;           11 Jy                ok   <2', edge-darkened appearance
PKS 2153-69  ESO 075-G041           | 321.32 -40.65 | 21:57:05.98  -69:41:23.7   mas        VLBI 2.3/8.4 GHz  | v=8476  | S0, Sy1/2?;             30 Jy     I, X       ok   ~4' incl faint comp, FRII
3C 454.3  PKS 2251+15               |  86.11 -38.18 | 22:53:57.75  +16:08:53.6   mas        VLBI 2.3/8.4 GHz  | z=0.86  | QSO Core-dom, blazar;   12 Jy     X, Gam     ok   <10", core & jet, OVV
PKS 2356-61                         |  14.02 -55.07 | 23:59:04.36  -60:54:59.3   1.25x1.25  Molonglo 408 MHz  | z=0.96  | Sy2;                    25 Jy                no   ~6', FRII 2 compact outer lobes
#CSS = compact steep spectruml; GPS = GHz peaked source OVV = optical violent variable
