0056-001,J0059+001,        , , , 00:59:05.5149,   0:06:51.621, VLA_CalList
0056-172,J0059-170,        , , , 00:59:06.6845, -17:00:38.522, VLA_CalList
0057+678,J0100+681,        , , , 01:00:51.6635,  68:08:20.534, VLA_CalList
0059+581,J0102+584,        , , , 01:02:45.7623,  58:24:11.136, VLA_CalList
0102+480,J0105+483,        , , , 01:05:49.9281,  48:19:03.192, VLA_CalList
0104-408,J0106-405,        , , , 01:06:45.1079, -40:34:19.960, VLA_CalList
0106+013,J0108+015,        , , , 01:08:38.7710,   1:35:00.317, VLA_CalList
0106+678,J0110+680,        , , , 01:10:12.8734,  68:05:41.218, VLA_CalList
0108-079,J0110-076,        , , , 01:10:50.0209,  -7:41:41.113, VLA_CalList
0107+562,J0110+565,        , , , 01:10:57.5610,  56:32:16.932, VLA_CalList
0108+388,J0111+391,        , , , 01:11:37.3169,  39:06:28.104, VLA_CalList
0109+224,J0112+227,        , , , 01:12:05.8247,  22:44:38.786, VLA_CalList
0109+351,J0112+353,        , , , 01:12:12.9444,  35:22:19.336, VLA_CalList
0110+495,J0113+498,        , , , 01:13:27.0068,  49:48:24.043, VLA_CalList
0111+021,J0113+023,        , , , 01:13:43.1449,   2:22:17.316, VLA_CalList
0111+481,J0114+483,        , , , 01:14:23.5092,  48:23:53.056, VLA_CalList
0112-017,J0115-014,        , , , 01:15:17.0999,  -1:27:04.577, VLA_CalList
0113-118,J0116-116,        , , , 01:16:12.5219, -11:36:15.434, VLA_CalList
0114-211,J0116-208,        , , , 01:16:51.4043, -20:52:06.813, VLA_CalList
0116-219,J0118-216,        , , , 01:18:57.2621, -21:41:30.139, VLA_CalList
0116+082,J0119+084,        , , , 01:19:01.2740,   8:29:54.680, VLA_CalList
0116+319,J0119+321,        , , , 01:19:35.0004,  32:10:50.054, VLA_CalList
0117-155,J0120-153,3C38    , , , 01:20:27.1972, -15:20:16.631, VLA_CalList
0118-272,J0120-270,        , , , 01:20:31.6633, -27:01:24.652, VLA_CalList
0119+115,J0121+118,        , , , 01:21:41.5950,  11:49:50.413, VLA_CalList
0119+041,J0121+043,        , , , 01:21:56.8616,   4:22:24.734, VLA_CalList
0119+247,J0122+250,        , , , 01:22:38.8159,  25:02:31.793, VLA_CalList
0122-003,J0125-000,        , , , 01:25:28.8437,   0:05:55.931, VLA_CalList
0123+257,J0126+259,        , , , 01:26:42.7926,  25:59:01.300, VLA_CalList
0127+233,J0129+236,3C43    , , , 01:29:59.8013,  23:38:20.728, VLA_CalList
0130-171,J0132-169,        , , , 01:32:43.4874, -16:54:48.521, VLA_CalList
0129+431,J0132+434,        , , , 01:32:44.1268,  43:25:32.660, VLA_CalList
0132-389,J0134-387,        , , , 01:34:32.0382, -38:43:33.514, VLA_CalList
0132-097,J0134-095,        , , , 01:34:35.6676,  -9:31:03.072, VLA_CalList
0132+079,J0135+081,3C46    , , , 01:35:14.9994,   8:11:07.106, VLA_CalList
0133-203,J0135-201,        , , , 01:35:37.5093, -20:08:45.861, VLA_CalList
0133+476,J0136+478,        , , , 01:36:58.5948,  47:51:29.100, VLA_CalList
0135-247,J0137-245,        , , , 01:37:38.3463, -24:30:53.885, VLA_CalList
0134+329,J0137+331,3C48    , , , 01:37:41.2994,  33:09:35.132, VLA_CalList
0138+136,J0141+138,3C49    , , , 01:41:09.1545,  13:53:28.033, VLA_CalList
0138-097,J0141-094,        , , , 01:41:25.8320,  -9:28:43.673, VLA_CalList
0139-273,J0141-271,        , , , 01:41:27.1913, -27:06:07.125, VLA_CalList
0142-278,J0145-275,        , , , 01:45:03.3945, -27:33:34.328, VLA_CalList
0145+386,J0148+389,        , , , 01:48:24.3776,  38:54:05.219, VLA_CalList
0146+056,J0149+059,        , , , 01:49:22.3708,   5:55:53.568, VLA_CalList
0147+187,J0149+189,        , , , 01:49:49.7189,  18:57:20.610, VLA_CalList
0147-076,J0150-074,        , , , 01:50:02.6973,  -7:25:48.488, VLA_CalList
0148+274,J0151+277,        , , , 01:51:27.1461,  27:44:41.793, VLA_CalList
0149+218,J0152+221,        , , , 01:52:18.0590,  22:07:07.700, VLA_CalList
0150-334,J0153-331,        , , , 01:53:10.1217, -33:10:25.861, VLA_CalList
0151+474,J0154+477,        , , , 01:54:56.2898,  47:43:26.539, VLA_CalList
0153-410,J0155-408,        , , , 01:55:37.0593, -40:48:42.356, VLA_CalList
0153+744,J0157+747,        , , , 01:57:34.9649,  74:42:43.229, VLA_CalList
0155-109,J0157-107,        , , , 01:57:41.5280, -10:43:40.408, VLA_CalList
0159-117,J0201-115,3C57    , , , 02:01:57.1647, -11:32:33.133, VLA_CalList
0159+723,J0203+725,        , , , 02:03:33.3850,  72:32:53.667, VLA_CalList
0201-440,J0203-438,        , , , 02:03:40.7543, -43:49:50.783, VLA_CalList
0201+113,J0203+115,        , , , 02:03:46.6570,  11:34:45.409, VLA_CalList
0202+149,J0204+152,        , , , 02:04:50.4139,  15:14:11.043, VLA_CalList
0201+365,J0204+368,        , , , 02:04:55.5960,  36:49:17.997, VLA_CalList
0202-172,J0204-170,        , , , 02:04:57.6743, -17:01:19.840, VLA_CalList
0202+319,J0205+322,        , , , 02:05:04.9253,  32:12:30.095, VLA_CalList
0205+722,J0209+724,        , , , 02:09:51.7921,  72:29:26.669, VLA_CalList
0213-026,J0215-023,        , , , 02:15:42.0172,  -2:22:56.751, VLA_CalList
0212+735,J0217+738,        , , , 02:17:30.8133,  73:49:32.621, VLA_CalList
0215+015,J0217+017,        , , , 02:17:48.9547,   1:44:49.699, VLA_CalList
0216+011,J0219+013,        , , , 02:19:07.0244,   1:20:59.865, VLA_CalList
0218-021,J0220-019,3C63    , , , 02:20:54.2800,  -1:56:51.800, VLA_CalList
0218+357,J0221+359,        , , , 02:21:05.4733,  35:56:13.791, VLA_CalList
0220-349,J0222-346,        , , , 02:22:56.4016, -34:41:28.730, VLA_CalList
0220+397,J0223+400,3C65    , , , 02:23:43.0900,  40:00:53.000, VLA_CalList
0221+276,J0224+278,3C67    , , , 02:24:12.2973,  27:50:12.016, VLA_CalList
0221+067,J0224+069,        , , , 02:24:28.4281,   6:59:23.341, VLA_CalList
0223+341,J0226+343,        , , , 02:26:10.3331,  34:21:30.286, VLA_CalList
0224+671,J0228+673,        , , , 02:28:50.0514,  67:21:03.029, VLA_CalList
0223+774,J0229+777,        , , , 02:29:14.7115,  77:43:16.113, VLA_CalList
0227+403,J0230+405,        , , , 02:30:45.7108,  40:32:53.068, VLA_CalList
0229+131,J0231+133,        , , , 02:31:45.8940,  13:22:54.716, VLA_CalList
0229-398,J0231-395,        , , , 02:31:51.7886, -39:35:45.744, VLA_CalList
0234+285,J0237+288,        , , , 02:37:52.4056,  28:48:08.990, VLA_CalList
0235+164,J0238+166,        , , , 02:38:38.9301,  16:36:59.274, VLA_CalList
0237-027,J0239-025,        , , , 02:39:45.4722,  -2:34:40.914, VLA_CalList
0237+040,J0239+042,        , , , 02:39:51.2630,   4:16:21.411, VLA_CalList
0237-233,J0240-231,        , , , 02:40:08.1745, -23:09:15.730, VLA_CalList
0238-084,J0241-082,        , , , 02:41:04.7985,  -8:15:20.751, VLA_CalList
0239+108,J0242+110,        , , , 02:42:29.1708,  11:01:00.728, VLA_CalList
0240-217,J0242-215,        , , , 02:42:35.9098, -21:32:25.935, VLA_CalList
0240-002,J0242-000,3C71    , , , 02:42:40.7343,   0:00:47.237, VLA_CalList
0241+622,J0244+624,        , , , 02:44:57.6968,  62:28:06.514, VLA_CalList
0246+061,J0249+063,        , , , 02:49:18.0161,   6:19:51.947, VLA_CalList
0248+430,J0251+432,        , , , 02:51:34.5367,  43:15:15.828, VLA_CalList
0249+383,J0253+385,        , , , 02:53:08.8881,  38:35:24.998, VLA_CalList
0250+178,J0253+180,        , , , 02:53:34.8823,  18:05:42.523, VLA_CalList
0251+393,J0254+395,        , , , 02:54:42.6321,  39:31:34.711, VLA_CalList
0256+075,J0259+077,        , , , 02:59:27.0766,   7:47:39.643, VLA_CalList
0256+424,J0259+425,        , , , 02:59:37.6943,  42:35:49.802, VLA_CalList
0259+121,J0302+123,        , , , 03:02:30.5467,  12:18:56.750, VLA_CalList
0300+470,J0303+472,        , , , 03:03:35.2422,  47:16:16.275, VLA_CalList
0259+681,J0304+683,        , , , 03:04:22.0038,  68:21:37.474, VLA_CalList
0302+625,J0306+627,        , , , 03:06:42.6595,  62:43:02.024, VLA_CalList
0306+102,J0309+104,        , , , 03:09:03.6235,  10:29:16.340, VLA_CalList
0307+380,J0310+382,        , , , 03:10:49.8799,  38:14:53.837, VLA_CalList
