d,0003-066,00:06:13.89, -6:23:35.3,PKS0003-066
d,0007+106,00:10:31.01, 10:58:29.5,IIIZW2,PKS0007+106
d,0007+171,00:10:33.99, 17:24:18.8,4C+17.04
d,0008-264,00:11:01.25,-26:12:33.4,PKS0008-264
d,0010+405,00:13:31.13, 40:51:37.1,B30010+406
d,0013-005,00:16:11.09,  0:-15:12.5,PKS0013-005
d,0014+813,00:17:08.48, 81:35:08.1,S50014+81
d,0016+731,00:19:45.79, 73:27:30.0,S50016+73
d,0019+058,00:22:32.44,  6:08:04.3,PKS0019+058
d,0026+346,00:29:14.24, 34:56:32.2,OB343,S40026+34
d,0039+230,00:42:04.55, 23:20:01.1,PKS0039+230
d,0047-579,00:49:59.47,-57:38:27.3,PKS0047-579
d,0048-097,00:50:41.32, -9:29:05.2,PKS0048-097
d,0056-572,00:58:46.58,-56:59:11.5,PKS0056-572
d,0056-001,00:59:05.51,  0:06:51.6,4C-00.06
d,0059+581,01:02:45.76, 58:24:11.1,
d,0104-408,01:06:45.11,-40:34:20.0,
d,0106+013,01:08:38.77,  1:35:00.3,4C+01.02
d,0109+224,01:12:05.82, 22:44:38.8,
d,0111+021,01:13:43.14,  2:22:17.3,
d,0112-017,01:15:17.10, -1:27:04.6,PKS0112-014
d,0113-118,01:16:12.52,-11:36:15.4,PKS0113-118
d,0119+115,01:21:41.59, 11:49:50.4,PKS0119+115
d,0119+041,01:21:56.86,  4:22:24.7,IRASF01177+
d,0123+257,01:26:42.79, 25:59:01.3,
d,0131-522,01:33:05.76,-52:00:04.0,PKS0131-522
d,0133+476,01:36:58.59, 47:51:29.1,
d,0135-247,01:37:38.35,-24:30:53.9,
d,0134+329,01:37:41.30, 33:09:35.1,3C48,4C+39.25
d,0146+056,01:49:22.37,  5:55:53.6,PKS0146+056
d,0148+274,01:51:27.15, 27:44:41.8,
d,0149+218,01:52:18.06, 22:07:07.7,PKS0149+218
d,0150-334,01:53:10.12,-33:10:25.9,PKS0150-334
d,0153+744,01:57:34.96, 74:42:43.2,
d,0159+723,02:03:33.38, 72:32:53.7,
d,0201+113,02:03:46.66, 11:34:45.4,PKS0201+113
d,0202+149,02:04:50.41, 15:14:11.0,4C+15.05
d,0202-172,02:04:57.67,-17:01:19.8,PKS0202-172
d,0202+319,02:05:04.93, 32:12:30.1,B20202+31
d,0208-512,02:10:46.20,-51:01:01.9,PKS0208-512
d,0212+735,02:17:30.81, 73:49:32.6,S50212+73
d,0215+015,02:17:48.95,  1:44:49.7,
d,0219+428,02:22:39.61, 43:02:07.8,
d,0220-349,02:22:56.40,-34:41:28.7,PKS0220-349
d,0221+067,02:24:28.43,  6:59:23.3,
d,0224+671,02:28:50.05, 67:21:03.0,4C+67.05
d,0230-790,02:29:34.95,-78:47:45.6,PKS0230-790
d,0229+131,02:31:45.89, 13:22:54.7,4C+13.14
d,0234+285,02:37:52.41, 28:48:09.0,4C+28.07
d,0235+164,02:38:38.93, 16:36:59.3,PKS0235+164
d,0237+040,02:39:51.26,  4:16:21.4,PKS0237+040
d,0238-084,02:41:04.80, -8:15:20.8,NGC1052,PKS0238-084
d,0239+108,02:42:29.17, 11:01:00.7,PKS0239+108
d,0248+430,02:51:34.54, 43:15:15.8,S40248+43
d,0252-549,02:53:29.18,-54:41:51.4,PKS0252-549
d,0256+075,02:59:27.08,  7:47:39.6,
d,0259+121,03:02:30.55, 12:18:56.7,
d,0300+470,03:03:35.24, 47:16:16.3,OE400,4C+47.08
d,0302-623,03:03:50.63,-62:11:25.6,PKS0302-623
d,0302+625,03:06:42.66, 62:43:02.0,
d,0306+102,03:09:03.62, 10:29:16.3,OE110
