J121546-173146 | 1213-172,radec gaincal,12:15:46.84,-17:31:46.2
J123943-102328 | 1237-101,radec gaincal,12:39:43.04,-10:23:28.6
J124312-211212 | 1240-209,radec gaincal,12:43:12.24,-21:12:12.7,(74.  20000. 5.2689 -4.0352 1.2650 -0.1561)
J124646-254748 | 1244-255,radec gaincal,12:46:46.9,-25:47:48.2
J125611-054720 | 3C279,radec gaincal,12:56:11.7,-05:47:21.52
J131139-221641 | 3C283,radec gaincal,13:11:39.33,-22:16:41.74,(60.  43000. -3.3516 6.4132 -2.4230 0.2522)
J131830-462034 | 1315-460,radec gaincal,13:18:30.064,-46:20:34.90,(145. 20000. 8.1689 -6.5930 2.0835 -0.2452)
J132304-445234 | 1320-446,radec gaincal,13:23:04.246182,-44:52:33.853400
J133037+250911 | 3C287,radec gaincal,13:30:37.69,+25:09:10.9,(80 14900 1.0388 0.5265 -0.2145 0.0089)
J133108+303033 | 3C286,radec bpcal,13:31:08.288,+30:30:32.959,(50. 50000. 0.0181 1.5920 -0.5011 0.0357)
J133739-125724 | 1334-127,radec gaincal,13:37:39.83,-12:57:24.6
J134733+121724 | 1345+125,radec gaincal,13:47:33.36,+12:17:24.238,(333. 99000. 1.4389 -0.2156 0.0345 -0.0130)
J140649-015417 | 1404-016,radec gaincal,14:06:49.11,-01:54:17.0
J142432-491350 | 1421-490,radec gaincal,14:24:32.08,-49:13:50.7,(145. 99000. 6.0550 -4.1963 1.1975 -0.1218)
J142529-295954 | 1422-297,radec gaincal,14:25:29.116200,-29:59:54.331,(74.  20000. 2.0865 0.3021 -0.4074 0.0431)
J142756-420618 | 1424-418,radec gaincal,14:27:56.22,-42:06:18.6
J144516+095836 | OQ172,radec gaincal,14:45:16.465213,+09:58:36.072440
J150135-391839 | 1458-391,radec gaincal,15:01:35,-39:18:39,(408. 20000. 5.7026 -3.9782 1.1342 -0.1271)
J151250-090600 | 1510-089,radec gaincal,15:12:50.54,-09:06:00.9
J151741-242220 | ApLib,radec gaincal,15:17:41.85,-24:22:20.0
J154403-133056 | 1541-133,radec gaincal,15:44:03.08,-13:30:56.4
J155035+052710 | 1548+056,radec gaincal,15:50:35.26,+05:27:10.6
J155659-791404 | 1549-790,radec gaincal,15:56:58.869736,-79:14:04.2814380,(408. 99000. -1.9709 2.4867 -0.6220 0.0351)
J160502-173415 | 1602-174,radec gaincal,16:05:02.12,-17:34:15.9
J160913+264129 | CTD93,radec bpcal,16:09:13.32,+26:41:29.0,(318. 10695. -20.1510 17.1277 -4.4962 0.3670)
J161933-841819 | 1607-841,radec gaincal,16:19:33.97,-84:18:19.10,(145. 20000. 2.0880 -0.3067 -0.0602 -0.0109)
J171257-280935 | 1709-281,radec gaincal,17:12:57.3,-28:09:35.8,(80.  20000. 3.7638 -2.1534 0.7268 -0.1101)
J172649-552938 | 1722-554,radec gaincal,17:26:49.7,-55:29:38.0,(408. 20000. -22.9922 19.0166 -4.8335 0.3765)
J173302-130449 | NRAO530,radec gaincal,17:33:02.66,-13:04:49.1,(408. 99000. -0.1038 1.0514 -0.3499 0.0322)
J174425-514443 | 1740-517,radec bpcal,17:44:25.47,-51:44:43.1,(145. 99000. -3.6941 2.7447 -0.3655 -0.015)
J181807-515805 | 1814-519,radec gaincal,18:18:06.96,-51:58:09.
J183058-360230 | 1827-360,radec gaincal,18:30:58.97,-36:02:31.7,(333. 22000. 0.4218 1.4761 -0.4243 0.0002)
J183339-210340 | 1830-210,radec gaincal,18:33:39.915,-21:03:40.05
J185958-661503 | 1854-663,radec gaincal,18:59:57.80,-66:15:02.8,(145. 20000. -5.3678 5.9491 -1.7969 0.1492)
J191109-200655 | 1908-201 ,radec gaincal,19:11:09.69,-20:06:55.5
J192332-210433 | 1920-211,radec gaincal,19:23:32.2,-21:04:33.7
J192451-291431 | OV-236,radec gaincal,19:24:51.11,-29:14:31.0
J193732-583828 | 1933-587,radec gaincal,19:37:32.37,-58:38:27.80
J193925-634243 | 1934-638,radec bpcal,19:39:25.05,-63:42:43.63,(408. 8640. -30.7667 26.4908 -7.0977 0.605334)
J194114-152431 | 1938-155,radec gaincal,19:41:14.97,-15:24:31.3,(80.  43000. -2.1724 4.1589 -1.4511 0.1368)
J195123-273720 | 1948-277,radec gaincal,19:51:23.26,-27:37:20.5
J195759-384505 | 1954-388,radec gaincal,19:57:59.67,-38:45:05.3
J195903-353432 | 1955-357,radec gaincal,19:59:03.79,-35:34:32.5
J200756-101638 | 2005-104,radec gaincal,20:07:56.81,-10:16:38.4
J201114-064404 | 2008-068,radec gaincal,20:11:14.215847,-06:44:03.555190
J201427+233452 | 3C409,radec gaincal,20:14:27.58,+23:34:52.9,(22. 10700. 4.4678 -1.8290 0.4678 -0.0705)
J202807-152120 | 2025-155,radec gaincal,20:28:07.23,-15:21:20.9
J205218-364031 | 2049-368,radec gaincal,20:52:17.63,-36:40:31.3
J205616-471448 | 2052-474,radec gaincal,20:56:16.22,-47:14:48.1
J213033+050217 | 2128+048,radec gaincal,21:30:32.877499,+05:02:17.474690
J213101-203656 | 2128-208,radec gaincal,21:31:01.52,-20:36:56.1,(74.  20000. 2.9655 -1.1589 0.2196 -0.0380)
J213135-120706 | 2128-123,radec gaincal,21:31:35.26,-12:07:06.2
J213410-015317 | 2131-021,radec gaincal,21:34:10.31,-01:53:17.0
J213638+004154 | 2134+004,radec gaincal,21:36:38.57,+00:41:54.5
J213901+142336 | 2136+141, radec gaincal,21:39:01.309267,+14:23:35.991990
J214805+065739 | 2146+067,radec gaincal,21:48:05.48,+06:57:39.4
J215203-282829 | 2149-287,radec gaincal,21:52:03.78,-28:28:29.0,(74.  20000. -1.3470 2.4134 -0.7681 0.0596)
J215806-150109 | 2155-152,radec gaincal,21:58:06.3,-15:01:09.
J220610-183539 | 2203-188,radec gaincal,22:06:10.33,-18:35:39.0,(145. 99000. 2.1847 -0.7118 0.1563 -0.0215)
J221238+015251 | 2210+016,radec gaincal,22:12:37.9770,+01:52:51.151
J221439-383545 | 2211-388,radec gaincal,22:14:38.569313,-38:35:45.009880
J222547-045701 | 3C446,radec bpcal,22:25:47.259,-04:57:01.390
J222946-382359 | 2226-386,radec gaincal,22:29:46.75,-38:23:59.0
J223236+114350 | CTA102,radec gaincal,22:32:36.408,+11:43:50.904
J223622+282857 | 2234+282,radec gaincal,22:36:22.470860,+28:28:57.413290
J224618-120652 | 2243-123,radec gaincal,22:46:18.28,-12:06:52.0
J225357+160853 | 3C454.3,radec gaincal,22:53:57.748,+16:08:53.56
J225409+244523 | 2251+2442,radec gaincal,22:54:09.341903,+24:45:23.422800
J230224-371807 | 2259-375,radec gaincal,23:02:23.888868,-37:18:06.8388290
J231409-445549 | 2311-452,radec gaincal,23:14:09.382840,-44:55:49.2363090
J232917-473019 | 2326-407,radec gaincal,23:29:17.74,-47:30:19.2
J232933-192305 | 2326-196,radec gaincal,23:29:33.74,-19:23:05.1
J234146-350622 | 2339-353,radec gaincal,23:41:45.8910,-35:06:22.130,(80.  20000. -1.6575 3.4649 -1.2586 0.1128)
J234802-163112 | 2345-167,radec gaincal,23:48:02.62,-16:31:12.6
J235731-112538 | 2354-117,radec gaincal,23:57:31.25,-11:25:38.9
J235753-531115 | 2355-534,radec gaincal,23:57:53.14,-53:11:15.6
