id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , Redshift , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy)
169 , 5BZQJ1041+0610 , 4C06.41 , 10 41 17.1 , +06 10 16.8 , 1.264 , 1406 , 425
170 , 5BZBJ0825+0309 , PKS0823+033 , 08 25 50.3 , +03 09 24.4 , 0.506 , 1400 , 0
171 , 5BZUJ0725-0054 , PKS0723-008 , 07 25 50.6 , -00 54 56.4 , 0.128 , 1399 , 2451
172 , 5BZQJ1554-2704 , PKS 1551-269 , 15 54 02.4 , -27 04 40.1 , 2.145 , 1394 , 0
173 , 5BZQJ1608+1029 , 4C10.45 , 16 08 46.1 , +10 29 07.8 , 1.226 , 1392 , 499
174 , 5BZUJ1301-3226 , ON-397 , 13 01 00.7 , -32 26 28.6 , 0.017 , 1387 , 0
175 , 5BZBJ1540+1447 , 4C14.60 , 15 40 49.4 , +14 47 45.8 , 0.605 , 1387 , 497
176 , 5BZQJ1448-1620 , PKS 1445-16 , 14 48 15.0 , -16 20 24.5 , 2.417 , 1376 , 0
177 , 5BZQJ0523-2614 , PKS 0521-262 , 05 23 18.4 , -26 14 09.6 , 3.109 , 1355 , 0
178 , 5BZQJ2025-0735 , PKSB2022-077 , 20 25 40.6 , -07 35 52.6 , 1.388 , 1347 , 940
179 , 5BZQJ1534+0131 , PKS 1532+01 , 15 34 52.4 , +01 31 04.1 , 1.428 , 1344 , 474
180 , 5BZQJ1213+1307 , DW 1211+13 , 12 13 32.1 , +13 07 20.6 , 1.139 , 1344 , 0
181 , 5BZQJ1153+8058 , S51150+81 , 11 53 12.4 , +80 58 29.2 , 1.25 , 1343 , 0
182 , 5BZQJ2331-1556 , PKS2329-16 , 23 31 38.6 , -15 56 57.0 , 1.153 , 1335 , 0
183 , 5BZUJ2211-1328 , PKS 2208-137 , 22 11 24.1 , -13 28 09.6 , 0.392 , 1330 , 464
184 , 5BZQJ2321+2732 , 1Jy2319+272 , 23 21 59.8 , +27 32 46.3 , 1.253 , 1318 , 394
185 , 5BZBJ2009-4849 , 1Jy2005-489 , 20 09 25.3 , -48 49 53.6 , 0.071 , 1299 , 506
186 , 5BZQJ2322+5057 , GB6J2322+5057 , 23 22 25.9 , +50 57 51.9 , 1.279 , 1294 , 322
187 , 5BZQJ0921-2618 , PKS0919-260 , 09 21 29.3 , -26 18 43.4 , 2.3 , 1290 , 544
188 , 5BZQJ1837-7108 , PKS1831-711 , 18 37 28.7 , -71 08 43.5 , 1.356 , 1290 , 538
189 , 5BZQJ2339-3310 , 1Jy2337-334 , 23 39 54.5 , -33 10 16.8 , 1.802 , 1284 , 0
190 , 5BZQJ1224+0330 , PKS 1222+037 , 12 24 52.4 , +03 30 50.2 , 0.956 , 1280 , 0
191 , 5BZQJ1001-4438 , PKS 0959-443 , 10 01 59.9 , -44 38 00.5 , 0.837 , 1280 , 0
192 , 5BZQJ1316-3338 , PKS1313-333 , 13 16 07.9 , -33 38 59.2 , 1.21 , 1278 , 838
193 , 5BZUJ1809-4552 , PKS 1806-458 , 18 09 57.8 , -45 52 41.0 , 0.07 , 1271 , 1376
194 , 5BZUJ2025+3343 , B2 2023+33 , 20 25 10.8 , +33 43 00.1 , 0.219 ? , 1269 , 2619
195 , 5BZQJ0042+2320 , GC0039+23 , 00 42 04.5 , +23 20 01.2 , 1.426 , 1269 , 0
196 , 5BZQJ2247-3657 , PKS 2244-37 , 22 47 03.9 , -36 57 46.2 , 2.252 , 1261 , 318
197 , 5BZQJ0842+1835 , DW 0839+18 , 08 42 05.1 , +18 35 41.2 , 1.272 , 1260 , 0
198 , 5BZQJ1051+2119 , 1Jy1049+215 , 10 51 48.7 , +21 19 52.2 , 1.3 , 1254 , 0
199 , 5BZQJ2258-2758 , PKS2255-282 , 22 58 05.9 , -27 58 21.2 , 0.926 , 1249 , 1405
200 , 5BZQJ0416-1851 , 1Jy0414-189 , 04 16 36.5 , -18 51 08.3 , 1.536 , 1248 , 442
201 , 5BZQJ1101+7225 , S51058+726 , 11 01 48.8 , +72 25 37.0 , 1.462 , 1245 , 417
202 , 5BZQJ2151-3027 , PKS2149-307 , 21 51 55.5 , -30 27 53.7 , 2.345 , 1244 , 461
203 , 5BZBJ0831+0429 , PKS 0829+046 , 08 31 48.8 , +04 29 39.0 , 0.174 , 1241 , 468
204 , 5BZQJ0858-1950 , PKS 0855-19 , 08 58 05.3 , -19 50 36.8 , 0.659 , 1226 , 471
205 , 5BZQJ0251+4315 , S4 0248+43 , 02 51 34.5 , +43 15 15.8 , 1.31 , 1225 , 0
206 , 5BZBJ1642-0621 , 2FGLJ1641.6-0614 , 16 42 02.1 , -06 21 23.6 , 0 , 1220 , 669
207 , 5BZQJ0204-1701 , PKS 0202-17 , 02 04 57.6 , -17 01 19.8 , 1.74 , 1220 , 496
208 , 5BZQJ2235-4835 , PKS2232-488 , 22 35 13.2 , -48 35 58.8 , 0.51 , 1216 , 623
209 , 5BZUJ0620-2515 , PKS 0618-252 , 06 20 32.1 , -25 15 17.4 , 1.9 ? , 1214 , 337
210 , 5BZQJ2213-2529 , PKS 2210-25 , 22 13 02.5 , -25 29 30.0 , 1.833 , 1210 , 465
211 , 5BZQJ2330+1100 , 4C10.73 , 23 30 40.8 , +11 00 18.6 , 1.489 , 1204 , 0
212 , 5BZQJ1912-8010 , 1Jy1903-802 , 19 12 40.0 , -80 10 05.9 , 1.756 , 1200 , 298
213 , 5BZBJ1925+2106 , PKSB1923+210 , 19 25 59.6 , +21 06 26.2 , 0 , 1199 , 667
214 , 5BZQJ1051-3138 , PKS1048-313 , 10 51 04.7 , -31 38 14.3 , 1.429 , 1199 , 0
215 , 5BZQJ1638+5720 , S41637+574 , 16 38 13.4 , +57 20 24.0 , 0.751 , 1199 , 702
216 , 5BZQJ1248-4559 , WMAP5J0519-4546 , 12 48 28.5 , -45 59 47.1 , 1.02 , 1196 , 242
217 , 5BZQJ2110-1020 , PKS 2107-105 , 21 10 00.9 , -10 20 57.2 , 2.5 , 1194 , 0
218 , 5BZQJ0153-3310 , PKS 0150-334 , 01 53 10.1 , -33 10 25.8 , 0.61 , 1186 , 0
219 , 5BZQJ2322+0812 , PKS 2319+07 , 23 22 36.0 , +08 12 01.5 , 2.09 , 1185 , 0
220 , 5BZQJ0121+1149 , PKS0119+11 , 01 21 41.5 , +11 49 50.5 , 0.57 , 1184 , 0
221 , 5BZBJ1745-0753 , 1RXSJ174525.9-07 , 17 45 27.1 , -07 53 03.9 , 0 , 1182 , 0
222 , 5BZQJ0614+6046 , OH 617 , 06 14 23.8 , +60 46 21.7 , 2.702 , 1182 , 0
223 , 5BZQJ0137-2430 , PKS0135-247 , 01 37 38.3 , -24 30 53.8 , 0.835 , 1181 , 1812
224 , 5BZUJ1159-2228 , PKS 1156-221 , 11 59 11.2 , -22 28 36.9 , 0.565 ? , 1178 , 0
225 , 5BZQJ1246-2547 , PKS1244-255 , 12 46 46.7 , -25 47 49.3 , 0.635 , 1165 , 0
226 , 5BZQJ0530-2503 , PKS 0528-250 , 05 30 07.9 , -25 03 29.9 , 2.778 , 1162 , 0
227 , 5BZQJ1048-1909 , PKS1045-18 , 10 48 06.6 , -19 09 35.7 , 0.595 , 1156 , 501
228 , 5BZQJ2031+5455 , GB6J2031+5455 , 20 31 47.9 , +54 55 03.1 , 1.262 , 1154 , 0
229 , 5BZQJ0403-3605 , PKS0402-362 , 04 03 53.7 , -36 05 01.8 , 1.417 , 1151 , 3911
230 , 5BZQJ0424+0204 , PKS 0421+019 , 04 24 08.5 , +02 04 24.9 , 2.056 , 1150 , 0
231 , 5BZQJ1257-3155 , PKS1255-316 , 12 57 59.0 , -31 55 16.8 , 1.924 , 1144 , 477
232 , 5BZQJ0136+4751 , S40133+47 , 01 36 58.5 , +47 51 29.0 , 0.859 , 1138 , 2811
233 , 5BZQJ1153+4036 , B31151+408 , 11 53 54.6 , +40 36 52.5 , 0.916 , 1136 , 0
234 , 5BZQJ0019+7327 , 1Jy0016+731 , 00 19 45.7 , +73 27 30.3 , 1.781 , 1136 , 486
235 , 5BZQJ2139+1423 , PKS2136+141 , 21 39 01.3 , +14 23 35.9 , 2.427 , 1132 , 394
236 , 5BZQJ2356-6820 , 1Jy2353-686 , 23 56 00.6 , -68 20 03.5 , 1.716 , 1126 , 305
237 , 5BZQJ1023+3948 , B2 1020+40 , 10 23 11.5 , +39 48 15.4 , 1.255 , 1123 , 0
238 , 5BZUJ1000+2233 , 4C 22.25 , 10 00 21.7 , +22 33 18.6 , 0.419 , 1117 , 0
239 , 5BZQJ0808+4950 , OJ 508 , 08 08 39.6 , +49 50 36.9 , 1.432 , 1115 , 0
240 , 5BZQJ1037-2934 , PKS1034-293 , 10 37 16.0 , -29 34 02.7 , 0.312 , 1113 , 889
241 , 5BZQJ1118+1234 , 4C12.39 , 11 18 57.3 , +12 34 41.7 , 2.129 , 1112 , 0
242 , 5BZGJ1840-7709 , PKS1833-77 , 18 40 38.5 , -77 09 28.6 , 0.018 , 1108 , 0
243 , 5BZBJ1522-2730 , 1Jy1519-273 , 15 22 37.6 , -27 30 10.8 , 1.297 ? , 1107 , 0
244 , 5BZQJ1557-0001 , DW 1555+00 , 15 57 51.4 , -00 01 50.4 , 1.77 , 1107 , 0
245 , 5BZQJ1057-2433 , PKS 1055-242 , 10 57 55.4 , -24 33 48.8 , 1.086 , 1106 , 0
246 , 5BZQJ2236+2828 , B22234+28A , 22 36 22.4 , +28 28 57.3 , 0.79 , 1103 , 1487
247 , 5BZBJ2243-2544 , PKS 2240-260 , 22 43 26.4 , -25 44 30.6 , 0.774 , 1102 , 323
248 , 5BZQJ0854+5757 , S40850+581 , 08 54 41.9 , +57 57 29.9 , 1.322 , 1102 , 0
249 , 5BZQJ2202-8338 , PKS2154-83 , 22 02 19.2 , -83 38 11.7 , 1.865 , 1100 , 408
250 , 5BZUJ2105-4848 , 1RXSJ210500.4-48 , 21 05 01.1 , -48 48 46.5 , 1.041 , 1100 , 208
251 , 5BZQJ1402-2822 , PKS 1359-281 , 14 02 02.3 , -28 22 25.1 , 0.803 , 1097 , 0
252 , 5BZQJ1014+2301 , 4C23.24 , 10 14 47.0 , +23 01 16.6 , 0.566 , 1096 , 334
253 , 5BZQJ1349+5341 , 4C 53.28 , 13 49 34.6 , +53 41 17.0 , 0.979 , 1096 , 226
254 , 5BZBJ0820-1258 , PKS 0818-128 , 08 20 57.4 , -12 58 59.0 , 0 , 1096 , 0
255 , 5BZQJ0437-2954 , PKS 0435-300 , 04 37 36.5 , -29 54 04.1 , 1.328 , 1092 , 0
256 , 5BZUJ1415+1320 , PKS 1413+135 , 14 15 58.8 , +13 20 23.7 , 0.247 , 1092 , 692
257 , 5BZBJ0818+4222 , S4 0814+425 , 08 18 16.0 , +42 22 45.5 , 0.53 ? , 1091 , 850
258 , 5BZUJ1734+0926 , PKS 1732+094 , 17 34 58.3 , +09 26 58.3 , 0.735 ? , 1088 , 0
259 , 5BZUJ1440+3820 , S41438+385 , 14 40 22.3 , +38 20 13.5 , 1.775 ? , 1087 , 0
260 , 5BZQJ0016-0015 , PKS 0013-00 , 00 16 11.0 , -00 15 12.3 , 1.577 , 1086 , 0
261 , 5BZQJ0956+2515 , OK 290 , 09 56 49.8 , +25 15 16.0 , 0.712 , 1080 , 499
262 , 5BZUJ1458+0416 , MA 1456+04 , 14 58 59.3 , +04 16 13.8 , 0.392 , 1079 , 0
263 , 5BZQJ0115-0127 , PKS0112-017 , 01 15 17.1 , -01 27 04.6 , 1.381 , 1076 , 0
264 , 5BZBJ0127-8108 , PKS0127-81 , 01 27 10.2 , -81 08 20.6 , 0 , 1075 , 0
265 , 5BZQJ2035+1056 , PKS2032+107 , 20 35 22.3 , +10 56 06.7 , 0.601 , 1075 , 455
266 , 5BZBJ0340-2119 , PKS0338-214 , 03 40 35.6 , -21 19 31.1 , 0.233 , 1075 , 382
267 , 5BZQJ0725+1425 , PKS 0722+145 , 07 25 16.8 , +14 25 13.6 , 1.038 , 1067 , 313
268 , 5BZQJ0121+0422 , PKS 0119+041 , 01 21 56.8 , +04 22 24.7 , 0.637 , 1066 , 599
269 , 5BZQJ1745+1720 , PKS 1743+173 , 17 45 35.2 , +17 20 01.3 , 1.702 , 1062 , 0
270 , 5BZQJ1637+4717 , 4C47.44 , 16 37 45.1 , +47 17 33.7 , 0.735 , 1062 , 861
271 , 5BZQJ1624-6809 , 1Jy1619-680 , 16 24 18.4 , -68 09 12.4 , 1.354 , 1062 , 219
272 , 5BZBJ2005+7752 , S52007+777 , 20 05 31.0 , +77 52 43.2 , 0.342 , 1061 , 939
273 , 5BZQJ0648-1744 , MC 0646-176 , 06 48 28.4 , -17 44 05.4 , 1.232 , 1046 , 0
274 , 5BZQJ2036-0629 , BZQJ2036-0629 , 20 36 40.7 , -06 29 03.8 , 1.636 , 1045 , 0
275 , 5BZBJ0334-4008 , PKS0332-403 , 03 34 13.6 , -40 08 25.4 , 0 , 1042 , 0
276 , 5BZUJ2008-0418 , 3C 407 , 20 08 24.4 , -04 18 29.3 , 0.589 , 1042 , 0
277 , 5BZQJ0152+2207 , PKS0149+21 , 01 52 18.0 , +22 07 07.7 , 1.32 , 1042 , 0
278 , 5BZUJ1657+4808 , S41656+482 , 16 57 46.8 , +48 08 33.1 , 1.669 , 1036 , 318
279 , 5BZUJ1454-4012 , PKS 1451-400 , 14 54 32.9 , -40 12 32.5 , 1.81 ? , 1032 , 0
280 , 5BZQJ1813+4304 , 4C 43.48 , 18 13 14.6 , +43 04 15.7 , 1.088 , 1031 , 0
281 , 5BZBJ2340+2641 , WE 2337+26W3 , 23 40 29.0 , +26 41 56.7 , 0.372 , 1031 , 0
282 , 5BZQJ1429+5406 , S41427+543 , 14 29 21.8 , +54 06 11.0 , 3.013 , 1029 , 0
283 , 5BZUJ1159-0940 , PKS 1156-094 , 11 59 12.7 , -09 40 51.9 , 0 , 1029 , 0
284 , 5BZGJ1158+2450 , B2.2 1155+25 , 11 58 25.7 , +24 50 17.9 , 0.202 , 1021 , 0
285 , 5BZBJ0710+4732 , S4 0707+476 , 07 10 46.0 , +47 32 11.1 , 1.292 ? , 1019 , 0
286 , 5BZQJ0920+4441 , S40917+44 , 09 20 58.4 , +44 41 53.9 , 2.19 , 1017 , 1429
287 , 5BZQJ1432-1801 , PKS 1430-178 , 14 32 57.6 , -18 01 35.1 , 2.331 , 1013 , 437
288 , 5BZQJ0916+3854 , S40913+391 , 09 16 48.9 , +38 54 28.1 , 1.267 , 1005 , 444
289 , 5BZUJ1937-3958 , PKS1933-400 , 19 37 16.2 , -39 58 01.5 , 0.965 ? , 1003 , 414
290 , 5BZQJ0126+2559 , PKS 0123+25 , 01 26 42.7 , +25 59 01.2 , 2.358 , 1003 , 330
291 , 5BZUJ2031+1219 , 1Jy2029+121 , 20 31 54.9 , +12 19 41.3 , 1.215 , 999 , 856
292 , 5BZQJ0815+3635 , 1Jy0812+367 , 08 15 25.9 , +36 35 15.2 , 1.028 , 995 , 0
293 , 5BZQJ0309-6058 , PKS0308-611 , 03 09 56.0 , -60 58 39.1 , 1.479 , 992 , 502
294 , 5BZQJ0505+0459 , PKS 0502+049 , 05 05 23.1 , +04 59 42.6 , 0.954 , 987 , 657
295 , 5BZBJ0019+2021 , PKS0017+200 , 00 19 37.8 , +20 21 45.7 , 0 , 983 , 0
296 , 5BZQJ2311+3425 , B2 2308+34 , 23 11 05.3 , +34 25 10.8 , 1.817 , 980 , 862
297 , 5BZBJ0439-4522 , 1Jy0437-454 , 04 39 00.8 , -45 22 22.5 , 0 , 978 , 290
298 , 5BZQJ1640+3946 , NRAO 512 , 16 40 29.6 , +39 46 45.9 , 1.66 , 976 , 332
299 , 5BZQJ2121-6111 , CRATESJ212104-61 , 21 21 04.0 , -61 11 24.6 , 1.017 , 973 , 0
300 , 5BZQJ2229-0832 , PKS2227-08 , 22 29 40.0 , -08 32 54.3 , 1.56 , 969 , 1562
301 , 5BZQJ1824+1044 , PKS 1821+10 , 18 24 02.8 , +10 44 23.7 , 1.36 , 968 , 0
302 , 5BZQJ0253-5441 , PKS0252-549 , 02 53 29.1 , -54 41 51.3 , 0.539 , 964 , 1317
303 , 5BZBJ0303+4716 , RXJ0303+472 , 03 03 35.2 , +47 16 16.2 , 0 , 963 , 1359
304 , 5BZQJ2147+0929 , 1Jy2144+092 , 21 47 10.1 , +09 29 46.7 , 1.113 , 960 , 380
305 , 5BZQJ0748+2400 , 1Jy0745+241 , 07 48 36.1 , +24 00 24.0 , 0.409 , 958 , 769
306 , 5BZQJ0827+3525 , B2 0824+35A , 08 27 38.5 , +35 25 05.1 , 2.25 , 957 , 0
307 , 5BZGJ1512+0203 , PKS 1509+022 , 15 12 15.7 , +02 03 16.9 , 0.22 , 957 , 0
308 , 5BZBJ0757+0956 , PKS0754+100 , 07 57 06.6 , +09 56 34.9 , 0.266 , 956 , 1105
309 , 5BZBJ2009+7229 , 4C72.28 , 20 09 52.3 , +72 29 19.3 , 0 , 954 , 388
310 , 5BZQJ1436+6336 , S4 1435+63 , 14 36 45.7 , +63 36 37.9 , 2.068 , 952 , 367
311 , 5BZQJ1553+1256 , PKS 1551+130 , 15 53 32.6 , +12 56 51.6 , 1.309 , 948 , 275
312 , 5BZQJ0558-1317 , PKS 0555-132 , 05 58 02.5 , -13 17 41.2 , 1.725 , 947 , 0
313 , 5BZQJ0921+6215 , S40917+62 , 09 21 36.2 , +62 15 52.1 , 1.446 , 946 , 472
314 , 5BZQJ1454-3747 , 1Jy1451-375 , 14 54 27.4 , -37 47 33.1 , 0.314 , 943 , 574
315 , 5BZQJ1657+5705 , 4C57.28 , 16 57 20.7 , +57 05 53.4 , 1.281 , 940 , 0
316 , 5BZQJ0228-0337 , PKS 0226-038 , 02 28 53.2 , -03 37 37.0 , 2.073 , 940 , 0
317 , 5BZQJ1506+3730 , 1Jy1504+377 , 15 06 09.5 , +37 30 51.0 , 0.672 , 938 , 566
318 , 5BZQJ1007+1356 , PKS 1004+141 , 10 07 41.5 , +13 56 29.6 , 2.715 , 937 , 0
319 , 5BZQJ0403+2600 , DW 0400+25 , 04 03 05.5 , +26 00 01.5 , 2.109 , 936 , 549
320 , 5BZBJ0120-2701 , 1Jy0118-272 , 01 20 31.6 , -27 01 24.7 , 0 , 934 , 431
321 , 5BZQJ1405+0415 , PKS 1402+044 , 14 05 01.1 , +04 15 35.7 , 3.208 , 934 , 0
322 , 5BZQJ0108-0037 , PKS 0105-008 , 01 08 26.8 , -00 37 24.2 , 1.374 , 933 , 0
323 , 5BZQJ1624-0649 , PKS 1621-067 , 16 24 32.9 , -06 49 49.5 , 3.307 , 932 , 0
324 , 5BZGJ0656+4237 , S4 0652+42 , 06 56 10.6 , +42 37 02.7 , 0.059 , 932 , 0
325 , 5BZQJ2323-0317 , PKS 2320-035 , 23 23 31.9 , -03 17 04.9 , 1.393 , 928 , 606
326 , 5BZQJ0145-2733 , PKS 0142-278 , 01 45 03.3 , -27 33 34.3 , 1.148 , 923 , 894
327 , 5BZBJ2015-0137 , PKS 2012-017 , 20 15 15.1 , -01 37 32.5 , 0 , 922 , 0
328 , 5BZGJ1516+0015 , 4C00.56 , 15 16 40.2 , +00 15 01.9 , 0.052 , 922 , 1005
329 , 5BZQJ1125+2610 , PKS 1123+26 , 11 25 53.7 , +26 10 19.9 , 2.341 , 921 , 0
330 , 5BZQJ0010+1724 , PKS 0008+171 , 00 10 33.9 , +17 24 19.0 , 1.601 , 918 , 0
331 , 5BZQJ0502+0609 , PKS 0459+060 , 05 02 15.4 , +06 09 07.4 , 1.106 , 915 , 0
332 , 5BZQJ2133+8239 , S52136+824 , 21 33 34.0 , +82 39 06.0 , 2.35 , 915 , 0
333 , 5BZQJ1035-2011 , PKS 1032-199 , 10 35 02.1 , -20 11 34.4 , 2.198 , 915 , 558
334 , 5BZQJ1727+4530 , S41726+45 , 17 27 27.6 , +45 30 39.7 , 0.717 , 914 , 0
335 , 5BZUJ0241-0815 , 1Jy0238-084 , 02 41 04.8 , -08 15 20.8 , 0.005 , 913 , 542
336 , 5BZQJ0503+3403 , B2 0500+33 , 05 03 56.7 , +34 03 28.1 , 0.149 , 913 , 0
337 , 5BZGJ2319-4206 , PKS 2316-423 , 23 19 05.8 , -42 06 48.6 , 0.054 , 912 , 0
338 , 5BZQJ0516-1603 , PKS 0514-16 , 05 16 15.9 , -16 03 07.5 , 1.278 , 911 , 0
339 , 5BZQJ0004-4736 , PKS 0002-478 , 00 04 35.6 , -47 36 19.5 , 0.884 , 909 , 0
340 , 5BZBJ1322+3216 , B2 1320+32 , 13 22 47.4 , +32 16 08.6 , 0 , 906 , 0
341 , 5BZQJ0149+0555 , PKS 0146+056 , 01 49 22.3 , +05 55 53.6 , 2.345 , 906 , 0
342 , 5BZQJ0051-0650 , PKS0048-71 , 00 51 08.2 , -06 50 01.8 , 1.975 , 905 , 1073
343 , 5BZQJ0639+7324 , S50633+734 , 06 39 21.9 , +73 24 57.9 , 1.85 , 903 , 898
344 , 5BZQJ1103-3251 , PKS 1101-325 , 11 03 31.5 , -32 51 16.7 , 0.355 , 898 , 0
345 , 5BZQJ0648-3044 , 1Jy0646-306 , 06 48 14.1 , -30 44 19.7 , 1.153 , 898 , 0
346 , 5BZQJ0151+2744 , KPD2.09 , 01 51 27.1 , +27 44 41.7 , 1.26 , 893 , 0
347 , 5BZQJ0239+0416 , PKS 0237+040 , 02 39 51.2 , +04 16 21.3 , 0.978 , 890 , 0
348 , 5BZQJ2024-3253 , PKS 2021-330 , 20 24 35.5 , -32 53 35.9 , 1.465 , 887 , 425
349 , 5BZQJ1737+0621 , PKS 1734+063 , 17 37 13.7 , +06 21 03.5 , 1.207 , 886 , 0
350 , 5BZQJ2151+0709 , PKS 2149+069 , 21 51 31.4 , +07 09 26.7 , 1.364 ? , 881 , 0
351 , 5BZBJ0754-1147 , 2FGLJ0754.4-1147 , 07 54 26.4 , -11 47 16.9 , 0 , 881 , 392
352 , 5BZQJ1804+0101 , PKS 1801+01 , 18 04 15.9 , +01 01 32.4 , 1.522 , 878 , 0
