ORION, radec J2000 maser, 5:35:14.54 , -5:22:45.9 ,(0.0 0.0 0.0 0.0)
VYCMA | IRAS 07209-2540, radec J2000 maser, 7:22:59.100, -25:46:08.00, (0.0 0.0 0.0 0.0)
OH331.512-00.102, radec J2000 maser, 16:12:09.890,- 51:28:37.67, (0.0 0.0 0.0 0.0)
OH344.93+0.01 | IRAS 17004-4119, radec J2000 maser, 17:03:56.206, -41:23:59.25, (0.0 0.0 0.0 0.0)
IRAS17317-3331 | OH354.88-0.54, radec J2000 maser, 17:35:02.730, -33:33:29.41, (0.0 0.0 0.0 0.0)
IRAS 17411-3154 | OH357.311-01.337, radec J2000 maser, 17:44:23.931, -31:55:39.14, (0.0 0.0 0.0 0.0)
W31, radec J2000 maser, 18:08:35.93 , -19:51:46.6 ,(0.0 0.0 0.0 0.0 0.0)
IRAS 18348-0526 | OH026.543+00.618, radec J2000 maser, 18:37:32.496, -05:23:59.69, (0.0 0.0 0.0 0.0)
