#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile
2128+048,,, ,  , 21:30:32.870,   5:02:17.45, EVN_list
2128-123,,, ,  , 21:31:34.581, -12:06:55.19, EVN_list
2131-021,,, ,BL, 21:34:10.315,  -1:53:17.14, EVN_list
2134+004,,, ,Q , 21:36:38.586,   0:41:54.22, EVN_list
2136+141,,, ,Q , 21:39:01.301,  14:23:36.11, EVN_list
2136+824,,, ,Q , 21:33:34.060,  82:39:06.09, EVN_list
2137+209,,, ,  , 21:39:46.779,  21:11:35.58, EVN_list
2138+144,,, ,  , 21:40:47.825,  14:38:11.97, EVN_list
2138+389,,, ,  , 21:40:16.938,  39:11:44.97, EVN_list
2141+655,LKHA234,, ,  , 21:43:06.106,  66:06:58.39, EVN_list
2145+067,4C06.69,, ,Q , 21:48:05.458,   6:57:38.60, EVN_list
2147+145,,, ,  , 21:50:23.600,  14:49:47.90, EVN_list
2148+528,PSR2148,, ,P , 21:50:37.742,  52:47:49.66, EVN_list
2149+056,,, ,  , 21:51:37.863,   5:52:13.05, EVN_list
2150+173,,, ,BL, 21:52:24.813,  17:34:37.79, EVN_list
2151+174,,, ,  , 21:53:36.827,  17:41:43.72, EVN_list
2153-119,,, ,  , 21:55:50.632, -11:39:48.21, EVN_list
2154-183,,, ,  , 21:57:29.107, -18:07:01.54, EVN_list
2155-152,,, ,BL, 21:58:06.284, -15:01:09.17, EVN_list
2159+436,RTLAC,, ,S , 22:01:30.519,  43:53:25.18, EVN_list
2159-201,,, ,  , 22:02:41.835, -19:54:31.04, EVN_list
2200+420,BLLac,VRG22201, ,BL, 22:02:43.287,  42:16:40.13, EVN_list
2201+040,,, ,G , 22:04:17.680,   4:40:02.55, EVN_list
2201+044,4C04.77,, ,G , 22:04:17.741,   4:40:00.56, EVN_list
2201+171,,, ,Q , 22:03:26.895,  17:25:48.26, EVN_list
2201+315,4C31.63,, ,AN, 22:03:14.966,  31:45:38.36, EVN_list
2202+363,,, ,G , 22:04:21.099,  36:32:37.09, EVN_list
2202+469,HKLAC,, ,S , 22:04:56.382,  47:14:04.85, EVN_list
2203+559,,, ,  , 22:05:33.656,  56:09:21.93, EVN_list
2206+456,AR_LAC,, ,S , 22:08:41.123,  45:44:29.27, EVN_list
2207+374,4C37.65,, ,Q , 22:09:21.413,  37:42:18.38, EVN_list
2209+080,4C08.54,, ,Q , 22:12:01.760,   8:19:15.59, EVN_list
2209+184,,, ,Q , 22:11:53.849,  18:41:49.77, EVN_list
2210+016,,, ,  , 22:12:37.969,   1:52:51.27, EVN_list
2210+085,,, ,  , 22:13:21.737,   8:47:29.95, EVN_list
2213-283,,, ,  , 22:15:59.665, -28:03:04.76, EVN_list
2214+350,,, ,Q , 22:16:20.006,  35:18:14.41, EVN_list
2216+415,,, ,G , 22:18:12.231,  41:46:33.53, EVN_list
2216-038,4C-03.79,, ,Q , 22:18:52.051,  -3:35:36.54, EVN_list
2217+018,,, ,  , 22:20:30.809,   2:04:11.97, EVN_list
2217+596,OH104.9+2.4,, ,M , 22:19:27.163,  59:51:22.30, EVN_list
2220+634,L1204G,, ,M , 22:19:49.830,  63:36:28.80, EVN_list
2223+210,,, ,  , 22:25:38.043,  21:18:06.32, EVN_list
2223-052,3C446,4C-05.92, ,Q , 22:25:47.259,  -4:57:01.39, EVN_list
2223-053,,, ,  , 22:25:55.251,  -5:06:47.24, EVN_list
2229+067,,, ,  , 22:31:41.695,   7:01:31.70, EVN_list
2229+391,3C449,4C39.69, ,G , 22:31:20.582,  39:21:29.71, EVN_list
2229+695,,, ,G , 22:30:36.454,  69:46:28.20, EVN_list
2230+114,CTA102,4C11.69, ,Q , 22:32:36.400,  11:43:50.62, EVN_list
2230+492,V350LAC,, ,S , 22:30:06.297,  49:21:22.17, EVN_list
2231-182,,, ,  , 22:35:20.236, -22:59:45.39, EVN_list
2235+731,,, ,  , 22:36:38.583,  73:22:52.81, EVN_list
2238+410,,, ,  , 22:41:07.197,  41:20:11.77, EVN_list
2238+572,,, ,  , 22:40:24.235,  57:32:59.02, EVN_list
2241+406,,, ,  , 22:44:12.723,  40:57:13.76, EVN_list
2241+412,,, ,G , 22:41:07.205,  41:20:11.61, EVN_list
2243+394,3C452,4C39.71, ,G , 22:43:32.810,  39:25:27.70, EVN_list
2243-123,,, ,Q , 22:46:18.233, -12:06:51.28, EVN_list
2244+399,NMLCygn,, ,M , 20:46:25.476,  40:06:59.48, EVN_list
2246+370,,, ,  , 22:48:37.904,  37:18:12.61, EVN_list
2247+140,4C14.82,, ,Q , 22:50:25.341,  14:19:52.20, EVN_list
2248-123,,, ,  , 22:50:53.147, -12:04:54.60, EVN_list
2249+185,3C454,4C18.67, ,Q , 22:51:34.757,  18:48:40.12, EVN_list
2249+402,,, ,  , 22:51:59.764,  40:30:58.30, EVN_list
2251+020,,, ,Q , 22:17:48.236,   2:20:10.86, EVN_list
2251+134,4C13.35,, ,Q , 22:54:20.833,  13:41:47.83, EVN_list
2251+158,3C454.3,4C15.76, ,Q , 22:53:57.740,  16:08:53.65, EVN_list
2251+244,4C24.61,, ,Q , 22:54:09.537,  24:45:27.58, EVN_list
2253+169,IMPEG,, ,  , 22:55:30.272,  17:06:29.75, EVN_list
2253+417,OY489,, ,Q , 22:55:36.694,  42:02:52.70, EVN_list
2254+024,,, ,  , 22:59:50.451,   2:59:24.00, EVN_list
2254+074,,, ,BL, 22:57:17.400,   7:43:15.00, EVN_list
2254+615,CEPA,, ,M , 22:56:18.093,  62:01:49.55, EVN_list
2255+416,4C41.45,, ,EF, 22:57:22.030,  41:54:17.12, EVN_list
2255+587,,, ,  , 22:58:02.877,  58:59:18.01, EVN_list
2255+589,PSR2255,, ,P , 22:57:57.750,  59:09:14.80, EVN_list
2259+371,,, ,Q , 23:01:27.731,  37:26:49.35, EVN_list
2300+564,WB234,, ,M , 23:02:31.855,  56:57:45.51, EVN_list
2307+50J,KX_AND,, ,S , 23:09:21.938,  50:27:49.23, EVN_list
2308-109,,, ,  , 23:11:16.526, -10:38:49.44, EVN_list
2309+454,,, ,  , 23:11:47.403,  45:43:56.17, EVN_list
2310+024,SZ Psc,, ,  , 23:13:24.155,   2:40:31.49, EVN_list
2311+469,4C46.47,, ,Q , 23:13:48.119,  47:12:15.71, EVN_list
2311+611,NGC7538,, ,G , 23:13:45.300,  61:28:10.90, EVN_list
2313+020,,, ,  , 23:16:07.683,   2:21:21.48, EVN_list
2314+038,3C459,, ,G , 23:16:35.188,   4:05:18.43, EVN_list
2314+594,IRAS2313,, ,M , 23:13:58.960,  59:39:05.80, EVN_list
2318+04 ,,, ,  , 23:15:56.890,   2:56:54.05, EVN_list
2319+444,,, ,  , 23:22:20.352,  44:45:42.52, EVN_list
2319+605,PSR2319,, ,P , 23:21:55.187,  60:24:30.66, EVN_list
2320+079,,, ,  , 23:22:35.179,   8:12:01.00, EVN_list
2321+585,CASA,, ,  , 23:23:22.566,  58:49:15.44, EVN_list
2322-124,,, ,G , 23:25:19.738, -12:07:25.96, EVN_list
2323+435,,, ,G , 23:25:42.122,  43:46:58.36, EVN_list
2324+405,,, ,  , 23:26:55.928,  40:48:09.19, EVN_list
2324+603,PSR2324,, ,P , 23:26:58.704,  61:13:36.50, EVN_list
2325+085,NGC7674,, ,G , 23:27:56.707,   8:46:44.27, EVN_list
2329+196,UV,Cet, ,S , 23:31:51.692,  19:56:16.95, EVN_list
2331+19J,EQPEGB,, ,  , 23:31:52.319,  19:56:13.92, EVN_list
2335+267,3C465,NGC7720, ,G , 23:38:29.370,  27:01:53.76, EVN_list
2335+462,LAMAND,, ,  , 23:37:33.804,  46:27:30.76, EVN_list
2337+264,,, ,G , 23:40:29.045,  26:41:55.03, EVN_list
2337+268,NGC7728,, ,G , 23:39:55.003,  27:08:02.20, EVN_list
2337-063,,, ,  , 23:39:45.449,  -6:04:12.09, EVN_list
2338+042,4C04.81,, ,Q , 23:40:56.813,   4:31:39.33, EVN_list
2341-156,RAQR,, ,S , 23:43:49.250, -15:17:03.02, EVN_list
2342+821,,, ,Q?, 23:44:03.682,  82:26:40.52, EVN_list
2344+092,4C09.72,, ,  , 23:46:36.834,   9:30:45.70, EVN_list
2344+299,,, ,  , 23:46:46.242,  30:11:59.65, EVN_list
2344+429,,, ,G , 23:47:22.873,  43:10:53.23, EVN_list
2344+514,,, ,G , 23:47:04.838,  51:42:17.87, EVN_list
2345+115,,, ,  , 23:47:36.406,  11:35:17.89, EVN_list
2345-167,,, ,Q , 23:48:02.611, -16:31:11.85, EVN_list
2348-120,,, ,  , 23:50:36.422, -11:45:12.73, EVN_list
2349+280,,, ,  , 23:51:57.712,  28:20:30.82, EVN_list
2349+388,,, ,  , 23:51:52.380,  39:05:58.81, EVN_list
2351+456,4C45.51,, ,G , 23:54:21.678,  45:53:04.40, EVN_list
2351+495,DA611,, ,S , 23:55:09.365,  49:50:09.30, EVN_list
2351-006,,, ,  , 23:54:09.153,   -0:19:47.61, EVN_list
2352+283,II_PEG,, ,S , 23:55:01.868,  28:37:59.50, EVN_list
2352+495,,, ,G , 23:55:09.463,  49:50:08.43, EVN_list
2353+269,,, ,  , 23:55:41.897,  27:11:40.77, EVN_list
2353+816,,, ,  , 23:56:22.789,  81:52:52.42, EVN_list
2355+511,RCAS,, ,M , 23:58:24.356,  51:23:16.85, EVN_list
2355-214,,, ,  , 23:57:35.187, -21:12:22.72, EVN_list
2356+390,,, ,  , 23:58:59.850,  39:22:28.46, EVN_list
