#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS,Xrayref,LFVref,etc
0851+202, OJ287,, 0.3060,,,,Herbig Readhead
0855+143, 3C212,, 1.0490,,,,Herbig Readhead
0859+470, 4C47.29,, 1.4620,,,,Herbig Readhead
0903+169, 3C215,, 0.4110,,,,Herbig Readhead
0905+380, 3C217,, 0.8975,,,,Herbig Readhead
0906+430, 3C216,, 0.6680,,,,Herbig Readhead
0917+458, 3C219,, 0.1744,,,,Herbig Readhead
0923+392, 4C39.25,, 0.6990,,,,Herbig Readhead
0926+793, 3C220.1,, 0.6200,,,,Herbig Readhead
0931+836, 3C220.3,, 0.6850,,,,Herbig Readhead
0936+361, 3C223,, 0.1368,,,,Herbig Readhead
0939+139, 3C225B,, 0.5820,,,,Herbig Readhead
0941+100, 3C226,, 0.8177,,,,Herbig Readhead
0945+408, 4C40.24,, 1.2520,,,,Herbig Readhead
0945+664, 4C66.09,, 1.60,,,,Herbig Readhead
0945+734, 4C73.08,, 0.0581,,,,Herbig Readhead
0947+145, 3C228,, 0.5520,,,,Herbig Readhead
0951+699, 3C231,, 0.0009,,,,Herbig Readhead
0954+556, 4C55.17,, 0.9090,,,,Herbig Readhead
0954+658, 0954+658,, 0.3680,,,,Herbig Readhead
0958+290, 3C234,, 0.1848,,,,Herbig Readhead
1003+351, 3C236,, 0.0989,,,,Herbig Readhead
1008+467, 3C239,, 1.7900,,,,Herbig Readhead
1009+748, 4C74.16,, 0.81,,,,Herbig Readhead
1019+222, 3C241,, 1.6170,,,,Herbig Readhead
1030+585, 3C244.1,, 0.4280,,,,Herbig Readhead
1031+567, OL553,, 0.4500,,,,Herbig Readhead
1040+123, 3C245,, 1.0290,,,,Herbig Readhead
1055+201, 4C20.24,, 1.1100,,,,Herbig Readhead
1056+432, 3C247,, 0.7500,,,,Herbig Readhead
1100+772, 3C249.1,, 0.3110,,,,Herbig Readhead
1108+359, 3C252,, 1.1050,,,,Herbig Readhead
1111+408, 3C254,, 0.7340,,,,Herbig Readhead
1116+128, 4C12.29,, 2.1180,,,,Herbig Readhead
1137+660, 3C263,, 0.6563,,,,Herbig Readhead
1140+223, 3C263.1,, 0.8240,,,,Herbig Readhead
1142+198, 3C264,, 0.0208,,,,Herbig Readhead
1142+318, 3C265,, 0.8108,,,,Herbig Readhead
1143+500, 3C266,, 1.2750,,,,Herbig Readhead
1147+130, 3C267,, 1.1420,,,,Herbig Readhead
1150+497, 4C49.22,, 0.3340,,,,Herbig Readhead
1153+317, 4C31.38,, 1.5570,,,,Herbig Readhead
1157+732, 3C268.1,, 0.9737,,,,Herbig Readhead
1203+645, 3C268.3,, 0.4220,,,,Herbig Readhead
1206+439, 3C268.4,, 1.4000,,,,Herbig Readhead
1218+339, 3C270.1,, 1.5190,,,,Herbig Readhead
1222+131, 3C272.1,, 0.0031,,,,Herbig Readhead
1225+368, ON343,, 1.9750,,,,Herbig Readhead
1227+119, A1552,, 0.0873,,,,Herbig Readhead
1228+126, 3C274,, 0.0043,,,,Herbig Readhead
1232+216, 3C274.1,, 0.4220,,,,Herbig Readhead
1241+166, 3C275.1,, 0.5570,,,,Herbig Readhead
1250+568, 3C277.1,, 0.3210,,,,Herbig Readhead
1251+159, 3C277.2,, 0.7660,,,,Herbig Readhead
1251+278, 3C277.3,, 0.0857,,,,Herbig Readhead
1254+476, 3C280,, 0.9940,,,,Herbig Readhead
1308+277, 3C284,, 0.2394,,,,Herbig Readhead
1319+428, 3C285,, 0.0794,,,,Herbig Readhead
1323+321, 4C32.44,, 0.3700,,,,Herbig Readhead
1328+254, 3C287,, 1.0550,,,,Herbig Readhead
1328+307, 3C286,, 0.8490,,,,Herbig Readhead
1336+391, 3C288,, 0.2460,,,,Herbig Readhead
1343+500, 3C289,, 0.9674,,,,Herbig Readhead
1345+125, 4C12.50,, 0.1218,,,,Herbig Readhead
1349+647, 3C292,, 0.7130,,,,Herbig Readhead
1350+316, 3C293,, 0.0452,,,,Herbig Readhead
1354+195, 4C19.44,, 0.7200,,,,Herbig Readhead
